# GENERATED by literature_inventory.py. DO NOT EDIT BY HAND.
# generated  = 2026-09-18T23:49:18Z
# manifest   = data/literature/manifest.ini
# preview    = 6 rows x 40 cells, 60 chars per cell (I4)
source_id	file_key	path	member	kind	bytes	sha256	sha256_matches_manifest	sheet	n_rows	n_cols
hortin_2008	hortin_2008.file.1	data/literature/hortin_2008/clinchem1608.pdf		document_not_opened	121983	8d8793e9d04cf80086235305359083ea016e4aa9a6b863c72176782baae21f25	true			
hortin_2008	hortin_2008.file.2	data/literature/hortin_2008/clinchem.2008.108175-1.doc		unknown_not_opened	41984	539759a4fb7584d8e6e02d52b407f970bd098cb98a6ffd19c7b76f81b3f14e0a	true			
hortin_2008	hortin_2008.file.3	data/literature/hortin_2008/clinchem.2008.108175-2.xls		unknown_not_opened	150528	b754184b6b3255c9f92924f92fe3b03261846788e02d71f0144241c07fb8a505	true			
icrp_2002	icrp_2002.file.1	data/literature/icrp_2002/icrpp89.pdf		document_not_opened	7336668	2d832efb2b39290cf72133be441f37f15b340f3d5dc1e589fe7ece75fac82692	true			
mingrone_2001	mingrone_2001.file.1	data/literature/mingrone_2001/ajpendo.2001.280.2.E365.pdf		document_not_opened	187353	01fa0767391ee61f2d0ed496efb52b8dcb8af86af50b287cad954a462494cdb8	true			
momenzadeh_2023	momenzadeh_2023.file.1	data/literature/momenzadeh_2023/NIHMS1992605-supplement-supplementary_table_2.xlsx		workbook	15008	f7920a367c5ff4ddf58db93b7c305cbe06be530851e845c1d44d8d211445c0f9	true			
momenzadeh_2023	momenzadeh_2023.file.1	data/literature/momenzadeh_2023/NIHMS1992605-supplement-supplementary_table_2.xlsx		sheet	15008	f7920a367c5ff4ddf58db93b7c305cbe06be530851e845c1d44d8d211445c0f9	true	Supplementary Table 2	10	54
momenzadeh_2023	momenzadeh_2023.file.2	data/literature/momenzadeh_2023/NIHMS1992605-supplement-supplementary_table_3.xlsx		workbook	14869	be279c01193d52ec501311ec95077fb2ae287d47f53be4d64a37d688efd05028	true			
momenzadeh_2023	momenzadeh_2023.file.2	data/literature/momenzadeh_2023/NIHMS1992605-supplement-supplementary_table_3.xlsx		sheet	14869	be279c01193d52ec501311ec95077fb2ae287d47f53be4d64a37d688efd05028	true	Supplementary Table 3	10	54
moreno-justicia_2025	moreno-justicia_2025.file.1	data/literature/moreno-justicia_2025/41467_2025_56896_MOESM3_ESM.zip		archive	67180681	35e67be0e706e353dd9ac802ea730ce35a9217e5c0dd1ea5afb36052f94d66a6	true			
moreno-justicia_2025	moreno-justicia_2025.file.1	data/literature/moreno-justicia_2025/41467_2025_56896_MOESM3_ESM.zip	supplementary_dataset_1.xlsx	archive_member	96047463	8f1b33edc33e329255e88080fbceb2b073538956f36c7819310dd8f0e86c7530				
moreno-justicia_2025	moreno-justicia_2025.file.1	data/literature/moreno-justicia_2025/41467_2025_56896_MOESM3_ESM.zip	supplementary_dataset_1.xlsx	sheet	96047463	8f1b33edc33e329255e88080fbceb2b073538956f36c7819310dd8f0e86c7530		supplementary dataset 1	28871	1000
moreno-justicia_2025	moreno-justicia_2025.file.2	data/literature/moreno-justicia_2025/41467_2025_56896_MOESM1_ESM.pdf		document_not_opened	5333409	bd271819afb2f5e5eb42aacc8bd1c7625c9ed53ea4c5416432e45a3a8976990b	true			
moreno-justicia_2025	moreno-justicia_2025.file.3	data/literature/moreno-justicia_2025/41467_2025_56896_MOESM2_ESM.pdf		document_not_opened	111482	8d15ed3d2271bdab9efc7a1dd0af0d5728aca0cb0ab22a42f666b791feb21417	true			
moreno-justicia_2025	moreno-justicia_2025.file.4	data/literature/moreno-justicia_2025/41467_2025_56896_MOESM4_ESM.zip		archive	21474433	6e8751cfed42d89035051628a5fa9641fa01f35f6582f5159c40615ef45ad178	true			
moreno-justicia_2025	moreno-justicia_2025.file.4	data/literature/moreno-justicia_2025/41467_2025_56896_MOESM4_ESM.zip	supplementary_dataset_2.xlsx	archive_member	21915203	15ff2c52a11be578fad62d08c88d358b5058b023a1b4701e0d80e34b6dc0c0d2				
moreno-justicia_2025	moreno-justicia_2025.file.4	data/literature/moreno-justicia_2025/41467_2025_56896_MOESM4_ESM.zip	supplementary_dataset_2.xlsx	sheet	21915203	15ff2c52a11be578fad62d08c88d358b5058b023a1b4701e0d80e34b6dc0c0d2		supplementary dataset 2	3011	1039
moreno-justicia_2025	moreno-justicia_2025.file.5	data/literature/moreno-justicia_2025/41467_2025_56896_MOESM12_ESM.xlsx		workbook	368324	6f98b206504ebd8a3846dfbab7e0a208cf74bcf17ce5010af308ac5e69d288ec	true			
moreno-justicia_2025	moreno-justicia_2025.file.5	data/literature/moreno-justicia_2025/41467_2025_56896_MOESM12_ESM.xlsx		sheet	368324	6f98b206504ebd8a3846dfbab7e0a208cf74bcf17ce5010af308ac5e69d288ec	true	supplementary dataset 10	2985	12
murgia_2021	murgia_2021.file.1	data/literature/murgia_2021/13395_2021_279_MOESM1_ESM.xlsx		workbook	611197	223f875331e1b0de0e97ad80a2a8149932a160be4183f573bbb2908d30210d2a	true			
murgia_2021	murgia_2021.file.1	data/literature/murgia_2021/13395_2021_279_MOESM1_ESM.xlsx		sheet	611197	223f875331e1b0de0e97ad80a2a8149932a160be4183f573bbb2908d30210d2a	true	Sheet1	4344	14
murgia_2021	murgia_2021.file.1	data/literature/murgia_2021/13395_2021_279_MOESM1_ESM.xlsx		sheet	611197	223f875331e1b0de0e97ad80a2a8149932a160be4183f573bbb2908d30210d2a	true	Sheet2	0	0
murgia_2021	murgia_2021.file.1	data/literature/murgia_2021/13395_2021_279_MOESM1_ESM.xlsx		sheet	611197	223f875331e1b0de0e97ad80a2a8149932a160be4183f573bbb2908d30210d2a	true	Sheet3	0	0
murgia_2021	murgia_2021.file.2	data/literature/murgia_2021/13395_2021_279_MOESM3_ESM.docx		document_not_opened	7910681	18cbb2a4ea28325b9b489c77510b82e335d99909204f88af0e1f3721280da766	true			
nordin_2004	nordin_2004.file.1	data/literature/nordin_2004/hem.pdf		document_not_opened	378737	55cb10e7afd6f9602e34122f4904816cf1d7dfc2b3851dcc20e63d0d1c75e88b	true			
rustad_2004	rustad_2004.file.1	data/literature/rustad_2004/main.pdf		document_not_opened	292342	aeba76a5df52eb22f416f50c1d4b4a1ada1ea9ef7626e32ac7e55e4bcb9ff4e5	true			
yamaguchi_2021	yamaguchi_2021.file.1	data/literature/yamaguchi_2021/1389887_Sale.pdf		document_not_opened	330788	847bfba638f00eef58cf5bfa89262ead1deb9916ed057207e50c448bc278f595	true			
