# GENERATED by comparison.py. DO NOT EDIT BY HAND.
# generated = 2026-09-17T15:55:57Z
# input.comparison = config/gorissen_2018_comparison.ini sha256 cd7643ca03c277c5645d06975a163a027274a75154fe7147c37f87eed7f365a2
# input.decisions = config/mass_fraction_decisions.ini sha256 bd09b2a54f3fc750af02d33bd553d5b79f25af10e4b022b34692a65f01213c04
# input.symbols = data/iupac/amino_acid_symbols.ini sha256 380d3d047c0f67df507df76a4cdd51f1b7fcde30ce050c7975b947884f8a8f0e
# input.standard = outputs/standard/_calculated_amino_acid_standard.tsv sha256 2b73a1312a8b3619f9fa87b81f2d3c7b53673c3316cdeb8f29a2a146a5c9fb8a
# input.standard_npmp = outputs/standard/_calculated_amino_acid_standard_with_non_protein_metabolite_pools.tsv sha256 e40ff18efd4a2b401b8c1ff21dc949c459a113d84c525c5c30f812058f5f86e5
# input.masses = data/pubchem/amino_acid_masses.ini sha256 ed1aac78a74e8b7ea30e21bfa52ab476433f28819d214a49a5350702a44b8216
# input.pools = config/non_protein_metabolite_pools.ini sha256 834e0a4227e06cfc557dc8a8637ae1c28b081d6d8728fedee0baf098a19a3e86
# source = P10 Gorissen SHM, Crombag JJR, Senden JMG, Waterval WAH, Bierau J, Verdijk LB, van Loon LJC. Protein content and amino acid composition of commercially available plant-based protein isolates. Amino Acids 2018;50(12):1685-1695. DOI 10.1007/s00726-018-2640-5
# source file = data/literature/gorissen_2018/726_2018_Article_2640.pdf sha256 6f75965fc27f705fbd80a68ad529ea2c28c919fca412810393c9fd7415a7215f
# X6: can the published values be reconciled with a stated protein content? Acid hydrolysis breaks every peptide bond and adds a water to each, so a gram of protein yields MORE than a gram of free amino acids. For this composition the factor is 1.160, computed from the PubChem free and residue masses and this repository's own standard — nothing in it comes from the paper.
# expected_free_amino_acids_g = protein_content_percent x the factor. measurable_g is the share of that the amino acids the method can report would carry, on this repository's composition. recovery_percent is the published total against it.
# Two protein contents are tested and NEITHER is chosen (X3). The paper's own is nitrogen x 6.25 on whole freeze-dried tissue, which counts non-protein nitrogen — creatine, carnosine, free amino acids, nucleotides, urea. The other is a direct measurement of muscle protein already cited in this repository.
protein_content_source	protein_content_percent	free_per_protein_factor	expected_free_amino_acids_g	measurable_share_percent	measurable_g	reported_g	recovery_percent	where_the_protein_content_comes_from
gorissen_nitrogen_derived	84.0	1.1602	97.5	83.69	81.6	60.8	74.5	gorissen_2018_comparison.ini [protein_content_of_the_muscle_sample]: Freeze-dried human skeletal muscle tissue contained 84% protein. (p. 1688, left column, first paragraph, third sentence)
mingrone_2001_measured	65.4	1.1602	75.9	83.69	63.5	60.8	95.7	non_protein_metabolite_pools.ini [protein_content] 155 g/kg wet and [water_content] 763 g/kg wet, so 65.4 % of dry mass (source id mingrone_2001, D77)
