# GENERATED by match.py. DO NOT EDIT BY HAND.
# generated = 2026-09-18T00:31:55Z
# Match Rate version = 1.0
# formula = M1 (D87), docs/formula.md 'Match Rate'; primary reference = skeletal_muscle_protein_with_non_protein_metabolite_pools
# input.config = config/match_rate.ini sha256 f1fe894b4ab9a9876bbb4b1fcbad73a45f4c6211ee9718d272dea6f658ca24bf
# input.symbols = data/iupac/amino_acid_symbols.ini sha256 380d3d047c0f67df507df76a4cdd51f1b7fcde30ce050c7975b947884f8a8f0e
# input.usda_foods = outputs/usda/amino_acids_per_food.tsv sha256 0b87709521d9e1981f81fb860bb25c1b6fb9979429e05b4b8f0d7888b97eb9fd
# input.other_sources = config/food_amino_acids_other_sources.csv sha256 c75262d6098376c55d0f4bf38e176c5793357d28d24958ab394813c26ddb6696
# input.reference.skeletal_muscle_protein_with_non_protein_metabolite_pools = outputs/standard/_calculated_amino_acid_standard_with_non_protein_metabolite_pools.tsv sha256 f48850b2561c26f0cbae16c083ddae4b9cbe4423614ed49d3aea788416df734d
# input.reference.skeletal_muscle_protein = outputs/standard/_calculated_amino_acid_standard.tsv sha256 1a05f217b72d59f38a89b7bac674ce7e2dc7c1aa11e5eaadf4860ccd4af70b5a
# input.reference.gorissen_2018_human_muscle = config/gorissen_2018_comparison.ini sha256 8fe77d578b408361750c0a2e67c2a657c5af42e934c3f731b09659908074a701
# input.scored_set.fao_2013_indispensable = config/fao_2013_indispensable_amino_acids.ini sha256 ab2eccf9d1dbc559e0fa37a8d214b388ed65e04a062c85d2a7167d1b8e113644
# reference.skeletal_muscle_protein_with_non_protein_metabolite_pools = skeletal muscle protein + non-protein metabolite pools (carnosine), fiber-type mix | outputs/standard/_calculated_amino_acid_standard_with_non_protein_metabolite_pools.tsv column standard_with_non_protein_metabolite_pools | scored set fao_2013_indispensable (HILKMFTWV) | values: H 2.5676, I 5.4316, L 8.4, K 9.4417, M 2.6557, F 4.0278, T 5.0653, W 1.541, V 5.9265
# reference.skeletal_muscle_protein = skeletal muscle protein (protein only), fiber-type mix | outputs/standard/_calculated_amino_acid_standard.tsv column standard | scored set fao_2013_indispensable (HILKMFTWV) | values: H 2.2267, I 5.4506, L 8.4293, K 9.4748, M 2.6649, F 4.0419, T 5.0831, W 1.5464, V 5.9473
# reference.gorissen_2018_human_muscle = Gorissen et al. 2018, Table 1, human muscle, g per 100 g raw material (the original Match Rate reference) | config/gorissen_2018_comparison.ini [values.human_muscle] | scored set gorissen_2018_essential (TMFHKVIL) | values: T 2.9, M 1.7, F 3.8, H 2.8, K 6.6, V 4.3, I 3.4, L 6.3
# food x reference pairs the formula could not score, with the reason (M3)
source	source_detail	food_id	description	reference	reason
usda	sr_legacy_food 2018-04	168427	Lentils, sprouted, raw	skeletal_muscle_protein_with_non_protein_metabolite_pools	food does not report W
usda	sr_legacy_food 2018-04	168427	Lentils, sprouted, raw	skeletal_muscle_protein	food does not report W
usda	sr_legacy_food 2018-04	168428	Lentils, sprouted, cooked, stir-fried, without salt	skeletal_muscle_protein_with_non_protein_metabolite_pools	food does not report W
usda	sr_legacy_food 2018-04	168428	Lentils, sprouted, cooked, stir-fried, without salt	skeletal_muscle_protein	food does not report W
usda	sr_legacy_food 2018-04	168533	Hyacinth-beans, immature seeds, cooked, boiled, drained, with salt	skeletal_muscle_protein_with_non_protein_metabolite_pools	food does not report W
usda	sr_legacy_food 2018-04	168533	Hyacinth-beans, immature seeds, cooked, boiled, drained, with salt	skeletal_muscle_protein	food does not report W
usda	sr_legacy_food 2018-04	168551	Lentils, sprouted, cooked, stir-fried, with salt	skeletal_muscle_protein_with_non_protein_metabolite_pools	food does not report W
usda	sr_legacy_food 2018-04	168551	Lentils, sprouted, cooked, stir-fried, with salt	skeletal_muscle_protein	food does not report W
usda	sr_legacy_food 2018-04	168746	Alcoholic beverage, beer, regular, all	skeletal_muscle_protein_with_non_protein_metabolite_pools	every scored amino acid is zero
usda	sr_legacy_food 2018-04	168746	Alcoholic beverage, beer, regular, all	skeletal_muscle_protein	every scored amino acid is zero
usda	sr_legacy_food 2018-04	168746	Alcoholic beverage, beer, regular, all	gorissen_2018_human_muscle	every scored amino acid is zero
usda	sr_legacy_food 2018-04	168749	Alcoholic beverage, beer, light	skeletal_muscle_protein_with_non_protein_metabolite_pools	every scored amino acid is zero
usda	sr_legacy_food 2018-04	168749	Alcoholic beverage, beer, light	skeletal_muscle_protein	every scored amino acid is zero
usda	sr_legacy_food 2018-04	168749	Alcoholic beverage, beer, light	gorissen_2018_human_muscle	every scored amino acid is zero
usda	sr_legacy_food 2018-04	168841	Toppings, butterscotch or caramel	skeletal_muscle_protein_with_non_protein_metabolite_pools	food does not report W
usda	sr_legacy_food 2018-04	168841	Toppings, butterscotch or caramel	skeletal_muscle_protein	food does not report W
usda	sr_legacy_food 2018-04	168891	Wheat, soft red winter	skeletal_muscle_protein_with_non_protein_metabolite_pools	food does not report W
usda	sr_legacy_food 2018-04	168891	Wheat, soft red winter	skeletal_muscle_protein	food does not report W
usda	sr_legacy_food 2018-04	169000	Sea lion, Steller, liver (Alaska Native)	skeletal_muscle_protein_with_non_protein_metabolite_pools	food does not report L, K, F
usda	sr_legacy_food 2018-04	169000	Sea lion, Steller, liver (Alaska Native)	skeletal_muscle_protein	food does not report L, K, F
usda	sr_legacy_food 2018-04	169000	Sea lion, Steller, liver (Alaska Native)	gorissen_2018_human_muscle	food does not report F, K, L
usda	sr_legacy_food 2018-04	169001	Sea lion, Steller, kidney (Alaska Native)	skeletal_muscle_protein_with_non_protein_metabolite_pools	food does not report L, M, T
usda	sr_legacy_food 2018-04	169001	Sea lion, Steller, kidney (Alaska Native)	skeletal_muscle_protein	food does not report L, M, T
usda	sr_legacy_food 2018-04	169001	Sea lion, Steller, kidney (Alaska Native)	gorissen_2018_human_muscle	food does not report T, M, L
usda	sr_legacy_food 2018-04	169086	Litchis, raw	skeletal_muscle_protein_with_non_protein_metabolite_pools	food does not report H, I, L, F, T, V
usda	sr_legacy_food 2018-04	169086	Litchis, raw	skeletal_muscle_protein	food does not report H, I, L, F, T, V
usda	sr_legacy_food 2018-04	169086	Litchis, raw	gorissen_2018_human_muscle	food does not report T, F, H, V, I, L
usda	sr_legacy_food 2018-04	169087	Litchis, dried	skeletal_muscle_protein_with_non_protein_metabolite_pools	food does not report H, I, L, F, T, V
usda	sr_legacy_food 2018-04	169087	Litchis, dried	skeletal_muscle_protein	food does not report H, I, L, F, T, V
usda	sr_legacy_food 2018-04	169087	Litchis, dried	gorissen_2018_human_muscle	food does not report T, F, H, V, I, L
usda	sr_legacy_food 2018-04	169089	Longans, raw	skeletal_muscle_protein_with_non_protein_metabolite_pools	food does not report W
usda	sr_legacy_food 2018-04	169089	Longans, raw	skeletal_muscle_protein	food does not report W
usda	sr_legacy_food 2018-04	169094	Olives, ripe, canned (small-extra large)	skeletal_muscle_protein_with_non_protein_metabolite_pools	food does not report W
usda	sr_legacy_food 2018-04	169094	Olives, ripe, canned (small-extra large)	skeletal_muscle_protein	food does not report W
usda	sr_legacy_food 2018-04	169095	Olives, ripe, canned (jumbo-super colossal)	skeletal_muscle_protein_with_non_protein_metabolite_pools	food does not report W
usda	sr_legacy_food 2018-04	169095	Olives, ripe, canned (jumbo-super colossal)	skeletal_muscle_protein	food does not report W
usda	sr_legacy_food 2018-04	169119	Pears, canned, water pack, solids and liquids	skeletal_muscle_protein_with_non_protein_metabolite_pools	food does not report W
usda	sr_legacy_food 2018-04	169119	Pears, canned, water pack, solids and liquids	skeletal_muscle_protein	food does not report W
usda	sr_legacy_food 2018-04	169120	Pears, canned, extra heavy syrup pack, solids and liquids	skeletal_muscle_protein_with_non_protein_metabolite_pools	food does not report W
usda	sr_legacy_food 2018-04	169120	Pears, canned, extra heavy syrup pack, solids and liquids	skeletal_muscle_protein	food does not report W
usda	sr_legacy_food 2018-04	169121	Pears, dried, sulfured, uncooked	skeletal_muscle_protein_with_non_protein_metabolite_pools	food does not report W
usda	sr_legacy_food 2018-04	169121	Pears, dried, sulfured, uncooked	skeletal_muscle_protein	food does not report W
usda	sr_legacy_food 2018-04	169122	Pears, dried, sulfured, stewed, without added sugar	skeletal_muscle_protein_with_non_protein_metabolite_pools	food does not report W
usda	sr_legacy_food 2018-04	169122	Pears, dried, sulfured, stewed, without added sugar	skeletal_muscle_protein	food does not report W
usda	sr_legacy_food 2018-04	169123	Pears, dried, sulfured, stewed, with added sugar	skeletal_muscle_protein_with_non_protein_metabolite_pools	food does not report W
usda	sr_legacy_food 2018-04	169123	Pears, dried, sulfured, stewed, with added sugar	skeletal_muscle_protein	food does not report W
usda	sr_legacy_food 2018-04	169132	Plums, canned, purple, heavy syrup pack, solids and liquids	skeletal_muscle_protein_with_non_protein_metabolite_pools	food does not report W
usda	sr_legacy_food 2018-04	169132	Plums, canned, purple, heavy syrup pack, solids and liquids	skeletal_muscle_protein	food does not report W
usda	sr_legacy_food 2018-04	169133	Plums, canned, purple, extra heavy syrup pack, solids and liquids	skeletal_muscle_protein_with_non_protein_metabolite_pools	food does not report W
usda	sr_legacy_food 2018-04	169133	Plums, canned, purple, extra heavy syrup pack, solids and liquids	skeletal_muscle_protein	food does not report W
usda	sr_legacy_food 2018-04	169234	Hyacinth-beans, immature seeds, raw	skeletal_muscle_protein_with_non_protein_metabolite_pools	food does not report W
usda	sr_legacy_food 2018-04	169234	Hyacinth-beans, immature seeds, raw	skeletal_muscle_protein	food does not report W
usda	sr_legacy_food 2018-04	169235	Hyacinth-beans, immature seeds, cooked, boiled, drained, without salt	skeletal_muscle_protein_with_non_protein_metabolite_pools	food does not report W
usda	sr_legacy_food 2018-04	169235	Hyacinth-beans, immature seeds, cooked, boiled, drained, without salt	skeletal_muscle_protein	food does not report W
usda	sr_legacy_food 2018-04	169301	Water convolvulus,raw	skeletal_muscle_protein_with_non_protein_metabolite_pools	food does not report W
usda	sr_legacy_food 2018-04	169301	Water convolvulus,raw	skeletal_muscle_protein	food does not report W
usda	sr_legacy_food 2018-04	169302	Water convolvulus, cooked, boiled, drained, without salt	skeletal_muscle_protein_with_non_protein_metabolite_pools	food does not report W
usda	sr_legacy_food 2018-04	169302	Water convolvulus, cooked, boiled, drained, without salt	skeletal_muscle_protein	food does not report W
usda	sr_legacy_food 2018-04	169303	Sweet potato leaves, raw	skeletal_muscle_protein_with_non_protein_metabolite_pools	food does not report H, I, L, F, T, V
usda	sr_legacy_food 2018-04	169303	Sweet potato leaves, raw	skeletal_muscle_protein	food does not report H, I, L, F, T, V
usda	sr_legacy_food 2018-04	169303	Sweet potato leaves, raw	gorissen_2018_human_muscle	food does not report T, F, H, V, I, L
usda	sr_legacy_food 2018-04	169304	Sweet potato leaves, cooked, steamed, without salt	skeletal_muscle_protein_with_non_protein_metabolite_pools	food does not report H, I, L, F, T, V
usda	sr_legacy_food 2018-04	169304	Sweet potato leaves, cooked, steamed, without salt	skeletal_muscle_protein	food does not report H, I, L, F, T, V
usda	sr_legacy_food 2018-04	169304	Sweet potato leaves, cooked, steamed, without salt	gorissen_2018_human_muscle	food does not report T, F, H, V, I, L
usda	sr_legacy_food 2018-04	169358	Yambean (jicama), cooked, boiled, drained, with salt	skeletal_muscle_protein_with_non_protein_metabolite_pools	food does not report W
usda	sr_legacy_food 2018-04	169358	Yambean (jicama), cooked, boiled, drained, with salt	skeletal_muscle_protein	food does not report W
usda	sr_legacy_food 2018-04	169371	Dock, cooked, boiled, drained, with salt	skeletal_muscle_protein_with_non_protein_metabolite_pools	food does not report W
usda	sr_legacy_food 2018-04	169371	Dock, cooked, boiled, drained, with salt	skeletal_muscle_protein	food does not report W
usda	sr_legacy_food 2018-04	169619	Frostings, cream cheese-flavor, ready-to-eat	skeletal_muscle_protein_with_non_protein_metabolite_pools	every scored amino acid is zero
usda	sr_legacy_food 2018-04	169619	Frostings, cream cheese-flavor, ready-to-eat	skeletal_muscle_protein	every scored amino acid is zero
usda	sr_legacy_food 2018-04	169619	Frostings, cream cheese-flavor, ready-to-eat	gorissen_2018_human_muscle	every scored amino acid is zero
usda	sr_legacy_food 2018-04	169654	Puddings, lemon, dry mix, instant	skeletal_muscle_protein_with_non_protein_metabolite_pools	every scored amino acid is zero
usda	sr_legacy_food 2018-04	169654	Puddings, lemon, dry mix, instant	skeletal_muscle_protein	every scored amino acid is zero
usda	sr_legacy_food 2018-04	169654	Puddings, lemon, dry mix, instant	gorissen_2018_human_muscle	every scored amino acid is zero
usda	sr_legacy_food 2018-04	169792	Babyfood, GERBER, Banana with orange medley	skeletal_muscle_protein_with_non_protein_metabolite_pools	food does not report H, I, L, K, F, T, W, V
usda	sr_legacy_food 2018-04	169792	Babyfood, GERBER, Banana with orange medley	skeletal_muscle_protein	food does not report H, I, L, K, F, T, W, V
usda	sr_legacy_food 2018-04	169792	Babyfood, GERBER, Banana with orange medley	gorissen_2018_human_muscle	food does not report T, F, H, K, V, I, L
usda	sr_legacy_food 2018-04	169824	Sea lion, Steller, meat with fat (Alaska Native)	skeletal_muscle_protein_with_non_protein_metabolite_pools	food does not report I, K, F, T, V
usda	sr_legacy_food 2018-04	169824	Sea lion, Steller, meat with fat (Alaska Native)	skeletal_muscle_protein	food does not report I, K, F, T, V
usda	sr_legacy_food 2018-04	169824	Sea lion, Steller, meat with fat (Alaska Native)	gorissen_2018_human_muscle	food does not report T, F, K, V, I
usda	sr_legacy_food 2018-04	169907	Longans, dried	skeletal_muscle_protein_with_non_protein_metabolite_pools	food does not report W
usda	sr_legacy_food 2018-04	169907	Longans, dried	skeletal_muscle_protein	food does not report W
usda	sr_legacy_food 2018-04	169909	Mammy-apple, (mamey), raw	skeletal_muscle_protein_with_non_protein_metabolite_pools	food does not report H, I, L, F, T, V
usda	sr_legacy_food 2018-04	169909	Mammy-apple, (mamey), raw	skeletal_muscle_protein	food does not report H, I, L, F, T, V
usda	sr_legacy_food 2018-04	169909	Mammy-apple, (mamey), raw	gorissen_2018_human_muscle	food does not report T, F, H, V, I, L
usda	sr_legacy_food 2018-04	169936	Pears, canned, juice pack, solids and liquids	skeletal_muscle_protein_with_non_protein_metabolite_pools	food does not report W
usda	sr_legacy_food 2018-04	169936	Pears, canned, juice pack, solids and liquids	skeletal_muscle_protein	food does not report W
usda	sr_legacy_food 2018-04	169937	Pears, canned, extra light syrup pack, solids and liquids (Includes foods for USDA's Food Distribution Program)	skeletal_muscle_protein_with_non_protein_metabolite_pools	food does not report W
usda	sr_legacy_food 2018-04	169937	Pears, canned, extra light syrup pack, solids and liquids (Includes foods for USDA's Food Distribution Program)	skeletal_muscle_protein	food does not report W
usda	sr_legacy_food 2018-04	169938	Pears, canned, light syrup pack, solids and liquids	skeletal_muscle_protein_with_non_protein_metabolite_pools	food does not report W
usda	sr_legacy_food 2018-04	169938	Pears, canned, light syrup pack, solids and liquids	skeletal_muscle_protein	food does not report W
usda	sr_legacy_food 2018-04	169939	Pears, canned, heavy syrup pack, solids and liquids	skeletal_muscle_protein_with_non_protein_metabolite_pools	food does not report W
usda	sr_legacy_food 2018-04	169939	Pears, canned, heavy syrup pack, solids and liquids	skeletal_muscle_protein	food does not report W
usda	sr_legacy_food 2018-04	169950	Plums, canned, purple, water pack, solids and liquids	skeletal_muscle_protein_with_non_protein_metabolite_pools	food does not report W
usda	sr_legacy_food 2018-04	169950	Plums, canned, purple, water pack, solids and liquids	skeletal_muscle_protein	food does not report W
usda	sr_legacy_food 2018-04	169951	Plums, canned, purple, juice pack, solids and liquids	skeletal_muscle_protein_with_non_protein_metabolite_pools	food does not report W
usda	sr_legacy_food 2018-04	169951	Plums, canned, purple, juice pack, solids and liquids	skeletal_muscle_protein	food does not report W
usda	sr_legacy_food 2018-04	169952	Plums, canned, purple, light syrup pack, solids and liquids	skeletal_muscle_protein_with_non_protein_metabolite_pools	food does not report W
usda	sr_legacy_food 2018-04	169952	Plums, canned, purple, light syrup pack, solids and liquids	skeletal_muscle_protein	food does not report W
usda	sr_legacy_food 2018-04	170069	Waxgourd, (chinese preserving melon), raw	skeletal_muscle_protein_with_non_protein_metabolite_pools	food does not report H, I, L, F, T, V
usda	sr_legacy_food 2018-04	170069	Waxgourd, (chinese preserving melon), raw	skeletal_muscle_protein	food does not report H, I, L, F, T, V
usda	sr_legacy_food 2018-04	170069	Waxgourd, (chinese preserving melon), raw	gorissen_2018_human_muscle	food does not report T, F, H, V, I, L
usda	sr_legacy_food 2018-04	170073	Yambean (jicama), raw	skeletal_muscle_protein_with_non_protein_metabolite_pools	food does not report W
usda	sr_legacy_food 2018-04	170073	Yambean (jicama), raw	skeletal_muscle_protein	food does not report W
usda	sr_legacy_food 2018-04	170074	Yambean (jicama), cooked, boiled, drained, without salt	skeletal_muscle_protein_with_non_protein_metabolite_pools	food does not report W
usda	sr_legacy_food 2018-04	170074	Yambean (jicama), cooked, boiled, drained, without salt	skeletal_muscle_protein	food does not report W
usda	sr_legacy_food 2018-04	170076	Dock, raw	skeletal_muscle_protein_with_non_protein_metabolite_pools	food does not report W
usda	sr_legacy_food 2018-04	170076	Dock, raw	skeletal_muscle_protein	food does not report W
usda	sr_legacy_food 2018-04	170077	Dock, cooked, boiled, drained, without salt	skeletal_muscle_protein_with_non_protein_metabolite_pools	food does not report W
usda	sr_legacy_food 2018-04	170077	Dock, cooked, boiled, drained, without salt	skeletal_muscle_protein	food does not report W
usda	sr_legacy_food 2018-04	170132	Water convolvulus, cooked, boiled, drained, with salt	skeletal_muscle_protein_with_non_protein_metabolite_pools	food does not report W
usda	sr_legacy_food 2018-04	170132	Water convolvulus, cooked, boiled, drained, with salt	skeletal_muscle_protein	food does not report W
usda	sr_legacy_food 2018-04	170133	Sweet potato leaves, cooked, steamed, with salt	skeletal_muscle_protein_with_non_protein_metabolite_pools	food does not report H, I, L, F, T, V
usda	sr_legacy_food 2018-04	170133	Sweet potato leaves, cooked, steamed, with salt	skeletal_muscle_protein	food does not report H, I, L, F, T, V
usda	sr_legacy_food 2018-04	170133	Sweet potato leaves, cooked, steamed, with salt	gorissen_2018_human_muscle	food does not report T, F, H, V, I, L
usda	sr_legacy_food 2018-04	170422	Peas, mature seeds, sprouted, raw	skeletal_muscle_protein_with_non_protein_metabolite_pools	food does not report W
usda	sr_legacy_food 2018-04	170422	Peas, mature seeds, sprouted, raw	skeletal_muscle_protein	food does not report W
usda	sr_legacy_food 2018-04	170423	Peas, mature seeds, sprouted, cooked, boiled, drained, without salt	skeletal_muscle_protein_with_non_protein_metabolite_pools	food does not report W
usda	sr_legacy_food 2018-04	170423	Peas, mature seeds, sprouted, cooked, boiled, drained, without salt	skeletal_muscle_protein	food does not report W
usda	sr_legacy_food 2018-04	170475	Waxgourd, (chinese preserving melon), cooked, boiled, drained, without salt	skeletal_muscle_protein_with_non_protein_metabolite_pools	food does not report H, I, L, F, T, V
usda	sr_legacy_food 2018-04	170475	Waxgourd, (chinese preserving melon), cooked, boiled, drained, without salt	skeletal_muscle_protein	food does not report H, I, L, F, T, V
usda	sr_legacy_food 2018-04	170475	Waxgourd, (chinese preserving melon), cooked, boiled, drained, without salt	gorissen_2018_human_muscle	food does not report T, F, H, V, I, L
usda	sr_legacy_food 2018-04	170486	Parsley, freeze-dried	skeletal_muscle_protein_with_non_protein_metabolite_pools	food does not report H, I, L, F, T, V
usda	sr_legacy_food 2018-04	170486	Parsley, freeze-dried	skeletal_muscle_protein	food does not report H, I, L, F, T, V
usda	sr_legacy_food 2018-04	170486	Parsley, freeze-dried	gorissen_2018_human_muscle	food does not report T, F, H, V, I, L
usda	sr_legacy_food 2018-04	170511	Peas, mature seeds, sprouted, cooked, boiled, drained, with salt	skeletal_muscle_protein_with_non_protein_metabolite_pools	food does not report W
usda	sr_legacy_food 2018-04	170511	Peas, mature seeds, sprouted, cooked, boiled, drained, with salt	skeletal_muscle_protein	food does not report W
usda	sr_legacy_food 2018-04	170549	Waxgourd, (chinese preserving melon), cooked, boiled, drained, with salt	skeletal_muscle_protein_with_non_protein_metabolite_pools	food does not report H, I, L, F, T, V
usda	sr_legacy_food 2018-04	170549	Waxgourd, (chinese preserving melon), cooked, boiled, drained, with salt	skeletal_muscle_protein	food does not report H, I, L, F, T, V
usda	sr_legacy_food 2018-04	170549	Waxgourd, (chinese preserving melon), cooked, boiled, drained, with salt	gorissen_2018_human_muscle	food does not report T, F, H, V, I, L
usda	sr_legacy_food 2018-04	170925	Spices, dill seed	skeletal_muscle_protein_with_non_protein_metabolite_pools	food does not report W
usda	sr_legacy_food 2018-04	170925	Spices, dill seed	skeletal_muscle_protein	food does not report W
usda	sr_legacy_food 2018-04	170938	Spices, thyme, dried	skeletal_muscle_protein_with_non_protein_metabolite_pools	food does not report H, M, F
usda	sr_legacy_food 2018-04	170938	Spices, thyme, dried	skeletal_muscle_protein	food does not report H, M, F
usda	sr_legacy_food 2018-04	170938	Spices, thyme, dried	gorissen_2018_human_muscle	food does not report M, F, H
usda	sr_legacy_food 2018-04	171008	Salad dressing, thousand island dressing, reduced fat	skeletal_muscle_protein_with_non_protein_metabolite_pools	every scored amino acid is zero
usda	sr_legacy_food 2018-04	171008	Salad dressing, thousand island dressing, reduced fat	skeletal_muscle_protein	every scored amino acid is zero
usda	sr_legacy_food 2018-04	171008	Salad dressing, thousand island dressing, reduced fat	gorissen_2018_human_muscle	every scored amino acid is zero
