accession	tier	subtree_annotations	evidence_codes
P12883	1	GO:0030016(ISS:UniProtKB);GO:0030017(ISS:UniProtKB);GO:0030018(IEA:Ensembl)	IEA;ISS
P13533	1	GO:0030016(ISS:BHF-UCL);GO:0030017(TAS:HGNC-UCL);GO:0030018(IEA:Ensembl)	IEA;ISS;TAS
P13535	1	GO:0030017(IC:BHF-UCL)	IC
P13805	1	GO:0005861(IDA:UniProtKB)	IDA
P14625	2	GO:0033018(ISS:UniProtKB)	ISS
P14672	2	GO:0016529(IEA:Ensembl)	IEA
P14923	1	GO:0030018(IEA:Ensembl)	IEA
P15172	1	GO:0030016(IEA:Ensembl)	IEA
P15382	1	GO:0030018(ISS:BHF-UCL)	ISS
P16157	1	GO:0031430(IEA:UniProtKB-SubCell);GO:0030018(IEA:Ensembl)	IEA
P16157	2	GO:0016529(IEA:UniProtKB-SubCell)	IEA
P16298	1	GO:0030018(IEA:Ensembl)	IEA
P16615	2	GO:0014801(IDA:BHF-UCL);GO:0016529(IDA:BHF-UCL);GO:0033017(IDA:BHF-UCL)	IDA
P17661	1	GO:0097512(IDA:CAFA);GO:0030018(IDA:UniProtKB)	IDA
P18206	1	GO:0043034(IDA:MGI)	IDA
P19237	1	GO:0005861(IBA:GO_Central)	IBA
P19429	1	GO:0097512(IMP:CAFA);GO:1990584(IMP:CAFA);GO:0030017(TAS:BHF-UCL);GO:0005861(IDA:UniProtKB)	IDA;IMP;TAS
P20807	1	GO:0030016(ISS:UniProtKB);GO:0030018(ISS:UniProtKB)	ISS
P20929	1	GO:0030018(IDA:UniProtKB)	IDA
P21291	1	GO:0030018(IBA:GO_Central)	IBA
P21333	1	GO:0030018(ISS:BHF-UCL)	ISS
P21817	1	GO:0031674(IDA:UniProtKB);GO:0030018(IBA:GO_Central)	IBA;IDA
P21817	2	GO:0030314(IEA:Ensembl);GO:0014701(TAS:BHF-UCL);GO:1990425(ISS:UniProtKB);GO:0016529(ISS:BHF-UCL);GO:0033017(IDA:UniProtKB);GO:0014802(ISS:UniProtKB)	IDA;IEA;ISS;TAS
P22460	1	GO:0030018(IEA:Ensembl)	IEA
P23297	2	GO:0016529(IDA:UniProtKB)	IDA
P23327	1	GO:0030018(IDA:BHF-UCL)	IDA
P23327	2	GO:0033018(TAS:BHF-UCL);GO:0033017(IEA:Ensembl)	IEA;TAS
P23634	1	GO:0030018(IDA:BHF-UCL)	IDA
P24844	1	GO:0030016(IBA:GO_Central);GO:0030018(IEA:Ensembl)	IBA;IEA
P26678	2	GO:1990629(IPI:ComplexPortal);GO:0016529(IBA:GO_Central);GO:0033017(EXP:UniProtKB)	EXP;IBA;IPI
P27797	2	GO:0033018(ISS:UniProtKB)	ISS
P28161	2	GO:0016529(IDA:BHF-UCL)	IDA
P28289	1	GO:0030016(IDA:UniProtKB);GO:0030017(IDA:UniProtKB);GO:0005865(IDA:UniProtKB)	IDA
P29475	1	GO:0030018(IEA:Ensembl)	IEA
P29475	2	GO:0016529(IDA:BHF-UCL);GO:0033017(IEA:Ensembl)	IDA;IEA
P29536	1	GO:0030016(IDA:UniProtKB);GO:0030017(ISS:UniProtKB);GO:0005865(IBA:GO_Central)	IBA;IDA;ISS
P30626	1	GO:0030018(IDA:BHF-UCL)	IDA
P30626	2	GO:0016529(TAS:BHF-UCL);GO:0033017(IEA:UniProtKB-SubCell)	IEA;TAS
