gene	outcome	accessions	matched_by	uniprot_primary_symbol
CKM	member	P06732	primary	CKM
CKMT2	member	P17540	primary	CKMT2
CLASP1	member	Q7Z460	primary	CLASP1
CLASP2	member	O75122	primary	CLASP2
CLCC1	member	Q96S66	primary	CLCC1
CLGN	member	O14967	primary	CLGN
CLIC1	member	O00299	primary	CLIC1
CLIC4	member	Q9Y696	primary	CLIC4
CLIC5	member	Q9NZA1	primary	CLIC5
CLINT1	member	Q14677	primary	CLINT1
CLIP1	member	P30622	primary	CLIP1
CLPB	member	Q9H078	primary	CLPB
CLPP	member	Q16740	primary	CLPP
CLPX	member	O76031	primary	CLPX
CLTA	member	P09496	primary	CLTA
CLTB	member	P09497	primary	CLTB
CLTC	member	Q00610	primary	CLTC
CLU	member	P10909	primary	CLU
CLUH	member	O75153	primary	CLUH
CLYBL	member	Q8N0X4	primary	CLYBL
CMAS	member	Q8NFW8	primary	CMAS
CMBL	member	Q96DG6	primary	CMBL
CMC1	member	Q7Z7K0	primary	CMC1
CMC2	member	Q9NRP2	primary	CMC2
CMC4	member	P56277	primary	CMC4
CMPK1	member	P30085	primary	CMPK1
CMPK2	member	Q5EBM0	primary	CMPK2
CMYA5	in_tier1	Q8N3K9	primary	CMYA5
CNBP	member	P62633	primary	CNBP
CNDP2	member	Q96KP4	primary	CNDP2
CNIH4	member	Q9P003	primary	CNIH4
CNN1	member	P51911	primary	CNN1
CNN2	member	Q99439	primary	CNN2
CNN3	member	Q15417	primary	CNN3
CNP	member	P09543	primary	CNP
CNPY2	member	Q9Y2B0	primary	CNPY2
CNST	member	Q6PJW8	primary	CNST
CNTNAP1	member	P78357	primary	CNTNAP1
COA3	member	Q9Y2R0	primary	COA3
COA4	member	Q9NYJ1	primary	COA4
COA5	member	Q86WW8	primary	COA5
COA6	member	Q5JTJ3	primary	COA6
COA7	member	Q96BR5	primary	COA7
COASY	member	Q13057	primary	COASY
COBL	member	O75128	primary	COBL
COG1	member	Q8WTW3	primary	COG1
COG4	member	Q9H9E3	primary	COG4
COG5	member	Q9UP83	primary	COG5
COL12A1	member	Q99715	primary	COL12A1
COL14A1	member	Q05707	primary	COL14A1
COL15A1	member	P39059	primary	COL15A1
COL18A1	member	P39060	primary	COL18A1
COL1A1	member	P02452	primary	COL1A1
COL1A2	member	P08123	primary	COL1A2
COL2A1	member	P02458	primary	COL2A1
COL3A1	member	P02461	primary	COL3A1
COL4A1	member	P02462	primary	COL4A1
COL4A2	member	P08572	primary	COL4A2
COL5A1	member	P20908	primary	COL5A1
COL5A2	member	P05997	primary	COL5A2
COL5A3	member	P25940	primary	COL5A3
COL6A1	in_tier1	P12109	primary	COL6A1
COL6A2	member	P12110	primary	COL6A2
COL6A3	member	P12111	primary	COL6A3
COL6A6	member	A6NMZ7	primary	COL6A6
COLGALT1	member	Q8NBJ5	primary	COLGALT1
COMMD3	member	Q9UBI1	primary	COMMD3
COMMD3-BMI1	unmapped			
COMT	member	P21964	primary	COMT
COMTD1	member	Q86VU5	primary	COMTD1
COPA	member	P53621	primary	COPA
COPB1	member	P53618	primary	COPB1
COPB2	member	P35606	primary	COPB2
COPE	member	O14579	primary	COPE
COPG1	member	Q9Y678	primary	COPG1
COPS2	member	P61201	primary	COPS2
COPS3	member	Q9UNS2	primary	COPS3
COPS4	member	Q9BT78	primary	COPS4
COPS5	member	Q92905	primary	COPS5
COPS6	member	Q7L5N1	primary	COPS6
COPS7A	member	Q9UBW8	primary	COPS7A
COPS8	member	Q99627	primary	COPS8
COQ10A	member	Q96MF6	primary	COQ10A
COQ10B	member	Q9H8M1	primary	COQ10B
COQ3	member	Q9NZJ6	primary	COQ3
COQ5	member	Q5HYK3	primary	COQ5
COQ6	member	Q9Y2Z9	primary	COQ6
COQ7	member	Q99807	primary	COQ7
COQ9	member	O75208	primary	COQ9
CORO1B	member	Q9BR76	primary	CORO1B
CORO1C	in_tier1	Q9ULV4	primary	CORO1C
CORO6	member	Q6QEF8	primary	CORO6
CORO7	member	P57737	primary	CORO7
CORO7-PAM16	unmapped			
COTL1	member	Q14019	primary	COTL1
COX11	member	Q9Y6N1	primary	COX11
COX15	member	Q7KZN9	primary	COX15
COX17	member	Q14061	primary	COX17
COX19	member	Q49B96	primary	COX19
COX20	member	Q5RI15	primary	COX20
COX4I1	member	P13073	primary	COX4I1
COX5A	member	P20674	primary	COX5A
COX5B	member	P10606	primary	COX5B
COX6A2	member	Q02221	primary	COX6A2
COX6B1	member	P14854	primary	COX6B1
COX6C	member	P09669	primary	COX6C
COX7A1	member	P24310	primary	COX7A1
COX7A2	member	P14406	primary	COX7A2
COX7A2L	member	O14548	primary	COX7A2L
COX7B	member	P24311	primary	COX7B
COX7C	member	P15954	primary	COX7C
COX8A	member	P10176	primary	COX8A
CP	member	P00450	primary	CP
CPA3	ambiguous	P15088;Q9UI42		
CPA4	member	Q9UI42	primary	CPA4
CPD	member	O75976	primary	CPD
CPNE1	member	Q99829	primary	CPNE1
CPNE3	member	O75131	primary	CPNE3
CPOX	member	P36551	primary	CPOX
CPPED1	member	Q9BRF8	primary	CPPED1
CPS1	member	P31327	primary	CPS1
CPSF1	member	Q10570	primary	CPSF1
CPSF3	member	Q9UKF6	primary	CPSF3
CPSF6	member	Q16630	primary	CPSF6
CPSF7	member	Q8N684	primary	CPSF7
CPT1A	member	P50416	primary	CPT1A
CPT1B	member	Q92523	primary	CPT1B
CPT2	member	P23786	primary	CPT2
CRABP2	member	P29373	primary	CRABP2
CRAT	member	P43155	primary	CRAT
CRIP1	member	P50238	primary	CRIP1
CRIP2	member	P52943	primary	CRIP2
CRK	member	P46108	primary	CRK
CRKL	member	P46109	primary	CRKL
CRMP1	member	Q14194	primary	CRMP1
CRNKL1	member	Q9BZJ0	primary	CRNKL1
CRNN	member	Q9UBG3	primary	CRNN
CROCC	member	Q5TZA2	primary	CROCC
CRTAP	member	O75718	primary	CRTAP
CRYAB	in_tier1	P02511	primary	CRYAB
CRYL1	member	Q9Y2S2	primary	CRYL1
CRYM	member	Q14894	primary	CRYM
CRYZ	member	Q08257	primary	CRYZ
CS	member	O75390	primary	CS
CSDE1	member	O75534	primary	CSDE1
CSE1L	member	P55060	primary	CSE1L
CSK	member	P41240	primary	CSK
CSNK1D	member	P48730	primary	CSNK1D
CSNK1E	member	P49674	primary	CSNK1E
CSNK2A1	member	P68400	primary	CSNK2A1
CSNK2A3	member	Q8NEV1	primary	CSNK2A3
CSNK2B	member	P67870	primary	CSNK2B
CSNK2B-LY6G5B--991	unmapped			
CSNK2B-LY6G5B-1181	unmapped			
CSPG4	member	Q6UVK1	primary	CSPG4
CSRP1	in_tier1	P21291	primary	CSRP1
CSRP3	in_tier1	P50461	primary	CSRP3
CST3	member	P01034	primary	CST3
CST4	member	P01036	primary	CST4
CST6	ambiguous	P04080;Q15828		
CSTA	member	P01040	primary	CSTA
CSTB	member	P04080	primary	CSTB
CSTF1	member	Q05048	primary	CSTF1
CSTF2	member	P33240	primary	CSTF2
CSTF3	member	Q12996	primary	CSTF3
CTAGE5	member	Q96PC5	synonym	MIA2
CTBP1	member	Q13363	primary	CTBP1
CTGF	member	P29279	synonym	CCN2
CTHRC1	member	Q96CG8	primary	CTHRC1
CTNNA1	member	P35221	primary	CTNNA1
CTNNA2	member	P26232	primary	CTNNA2
CTNNA3	member	Q9UI47	primary	CTNNA3
CTNNB1	in_tier1	P35222	primary	CTNNB1
CTNND1	member	O60716	primary	CTNND1
CTPS1	member	P17812	primary	CTPS1
CTSA	member	P10619	primary	CTSA
CTSB	member	P07858	primary	CTSB
CTSC	member	P53634	primary	CTSC
CTSD	member	P07339	primary	CTSD
CTSG	member	P08311	primary	CTSG
CTSZ	member	Q9UBR2	primary	CTSZ
CTTN	member	Q14247	primary	CTTN
CTTNBP2NL	member	Q9P2B4	primary	CTTNBP2NL
CUL1	member	Q13616	primary	CUL1
CUL2	member	Q13617	primary	CUL2
CUL3	member	Q13618	primary	CUL3
CUL4A	member	Q13619	primary	CUL4A
CUL4B	member	Q13620	primary	CUL4B
CUL5	member	Q93034	primary	CUL5
CUTA	member	O60888	primary	CUTA
CUTC	member	Q9NTM9	primary	CUTC
CYB5A	member	P00167	primary	CYB5A
CYB5B	member	O43169	primary	CYB5B
CYB5R1	member	Q9UHQ9	primary	CYB5R1
CYB5R3	member	P00387	primary	CYB5R3
CYBRD1	member	Q53TN4	primary	CYBRD1
CYC1	member	P08574	primary	CYC1
CYCS	member	P99999	primary	CYCS
CYFIP1	member	Q7L576	primary	CYFIP1
CYGB	member	Q8WWM9	primary	CYGB
CYP27A1	member	Q02318	primary	CYP27A1
CYP2J2	member	P51589	primary	CYP2J2
CYP51A1	member	Q16850	primary	CYP51A1
CYSTM1	member	Q9H1C7	primary	CYSTM1
D2HGDH	member	Q8N465	primary	D2HGDH
DAAM1	member	Q9Y4D1	primary	DAAM1
DAD1	member	P61803	primary	DAD1
DAG1	in_tier1	Q14118	primary	DAG1
DAK	member	Q3LXA3	synonym	TKFC
DAP3	ambiguous	O95886;P51398		
DAPK3	member	O43293	primary	DAPK3
DARS	member	P14868	synonym	DARS1
DARS2	member	Q6PI48	primary	DARS2
DAZAP1	member	Q96EP5	primary	DAZAP1
DBI	member	P07108	primary	DBI
DBN1	member	Q16643	primary	DBN1
DBNL	member	Q9UJU6	primary	DBNL
DBT	member	P11182	primary	DBT
DCAF6	member	Q58WW2	primary	DCAF6
DCAF8	member	Q5TAQ9	primary	DCAF8
DCD	member	P81605	primary	DCD
DCI	member	P42126	synonym	ECI1
DCLK1	member	O15075	primary	DCLK1
DCN	member	P07585	primary	DCN
DCPS	member	Q96C86	primary	DCPS
DCTN1	member	Q14203	primary	DCTN1
DCTN2	member	Q13561	primary	DCTN2
DCTN3	member	O75935	primary	DCTN3
DCTN4	in_tier1	Q9UJW0	primary	DCTN4
DCTN6	member	O00399	primary	DCTN6
DCTPP1	member	Q9H773	primary	DCTPP1
DCUN1D1	member	Q96GG9	primary	DCUN1D1
DCUN1D2	member	Q6PH85	primary	DCUN1D2
DCXR	member	Q7Z4W1	primary	DCXR
DDAH1	member	O94760	primary	DDAH1
DDAH2	member	O95865	primary	DDAH2
DDB1	member	Q16531	primary	DDB1
DDOST	member	P39656	primary	DDOST
DDRGK1	member	Q96HY6	primary	DDRGK1
DDT	member	P30046	primary	DDT
DDTL	member	A6NHG4	primary	DDTL
DDX1	member	Q92499	primary	DDX1
DDX10	member	Q13206	primary	DDX10
DDX17	member	Q92841	primary	DDX17
DDX18	member	Q9NVP1	primary	DDX18
DDX19A	member	Q9NUU7	primary	DDX19A
DDX19B	member	Q9UMR2	primary	DDX19B
DDX21	ambiguous	Q9NR30;Q9NY93		
DDX23	member	Q9BUQ8	primary	DDX23
DDX24	member	Q9GZR7	primary	DDX24
DDX39B	member	Q13838	primary	DDX39B
DDX3X	member	O00571	primary	DDX3X
DDX3Y	member	O15523	primary	DDX3Y
DDX42	member	Q86XP3	primary	DDX42
DDX46	member	Q7L014	primary	DDX46
DDX47	member	Q9H0S4	primary	DDX47
DDX5	member	P17844	primary	DDX5
DDX54	member	Q8TDD1	primary	DDX54
DDX58	member	O95786	synonym	RIGI
DDX6	member	P26196	primary	DDX6
DDX60	member	Q8IY21	primary	DDX60
DECR1	member	Q16698	primary	DECR1
DECR2	member	Q9NUI1	primary	DECR2
DEK	member	P35659	primary	DEK
DENND4C	member	Q5VZ89	primary	DENND4C
DENND5B	member	Q6ZUT9	primary	DENND5B
DENR	member	O43583	primary	DENR
DEPTOR	member	Q8TB45	primary	DEPTOR
DES	in_tier1	P17661	primary	DES
DGAT1	member	O75907	primary	DGAT1
DGUOK	member	Q16854	primary	DGUOK
DHCR24	member	Q15392	primary	DHCR24
DHODH	member	Q02127	primary	DHODH
DHRS4	member	Q9BTZ2	primary	DHRS4
DHRS7	member	Q9Y394	primary	DHRS7
DHRS7B	member	Q6IAN0	primary	DHRS7B
DHRS7C	member	A6NNS2	primary	DHRS7C
DHTKD1	member	Q96HY7	primary	DHTKD1
DHX15	member	O43143	primary	DHX15
DHX29	member	Q7Z478	primary	DHX29
DHX30	member	Q7L2E3	primary	DHX30
DHX9	member	Q08211	primary	DHX9
DIABLO	member	Q9NR28	primary	DIABLO
DIAPH1	member	O60610	primary	DIAPH1
DIAPH2	member	O60879	primary	DIAPH2
DICER1	member	Q9UPY3	primary	DICER1
DIDO1	member	Q9BTC0	primary	DIDO1
DIP2B	member	Q9P265	primary	DIP2B
DIP2C	member	Q9Y2E4	primary	DIP2C
DIS3	member	Q9Y2L1	primary	DIS3
DIS3L2	member	Q8IYB7	primary	DIS3L2
DISC1	member	Q9NRI5	primary	DISC1
DKC1	member	O60832	primary	DKC1
DKFZp434B2017	unmapped			
DKFZp566H1924	unmapped			
DKFZp686E0752	unmapped			
DKFZp686E14208	unmapped			
DKFZp686L0365	unmapped			
DKFZp779D0968	unmapped			
DKFZp781D1416	unmapped			
DKFZp781M17165	unmapped			
DLAT	member	P10515	primary	DLAT
DLD	member	P09622	primary	DLD
DLGAP4	member	Q9Y2H0	primary	DLGAP4
DLST	member	P36957	primary	DLST
DMBT1	member	Q9UGM3	primary	DMBT1
DMD	in_tier1	P11532	primary	DMD
DMPK	member	Q09013	primary	DMPK
DNAJA1	member	P31689	primary	DNAJA1
DNAJA2	member	O60884	primary	DNAJA2
DNAJA3	member	Q96EY1	primary	DNAJA3
DNAJA4	member	Q8WW22	primary	DNAJA4
DNAJB1	member	P25685	primary	DNAJB1
DNAJB11	member	Q9UBS4	primary	DNAJB11
DNAJB12	member	Q9NXW2	primary	DNAJB12
DNAJB2	member	P25686	primary	DNAJB2
DNAJB4	in_tier1	Q9UDY4	primary	DNAJB4
DNAJB5	member	O75953	primary	DNAJB5
DNAJB6	in_tier1	O75190	primary	DNAJB6
DNAJC10	member	Q8IXB1	primary	DNAJC10
DNAJC11	member	Q9NVH1	primary	DNAJC11
DNAJC13	member	O75165	primary	DNAJC13
DNAJC19	member	Q96DA6	primary	DNAJC19
DNAJC3	member	Q13217	primary	DNAJC3
DNAJC7	member	Q99615	primary	DNAJC7
DNAJC9	member	Q8WXX5	primary	DNAJC9
DNASE2	member	O00115	primary	DNASE2
DNM1L	member	O00429	primary	DNM1L
DNM2	member	P50570	primary	DNM2
DNMBP	member	Q6XZF7	primary	DNMBP
DNPEP	member	Q9ULA0	primary	DNPEP
DNPH1	member	O43598	primary	DNPH1
DOCK1	member	Q14185	primary	DOCK1
DOCK11	member	Q5JSL3	primary	DOCK11
DOCK7	member	Q96N67	primary	DOCK7
DOCK9	member	Q9BZ29	primary	DOCK9
DOHH	member	Q9BU89	primary	DOHH
DPH5	member	Q9H2P9	primary	DPH5
DPP3	member	Q9NY33	primary	DPP3
DPP7	member	Q9UHL4	primary	DPP7
DPP9	member	Q86TI2	primary	DPP9
DPT	member	Q07507	primary	DPT
DPYSL2	member	Q16555	primary	DPYSL2
DPYSL3	member	Q14195	primary	DPYSL3
DPYSL4	member	O14531	primary	DPYSL4
DPYSL5	member	Q9BPU6	primary	DPYSL5
DR1	member	Q01658	primary	DR1
DRG1	ambiguous	Q92597;Q9Y295		
DRG2	member	P55039	primary	DRG2
DSC1	ambiguous	P53805;Q08554		
DSC2	member	Q02487	primary	DSC2
DSC3	ambiguous	Q02487;Q14574		
DSCR3	member	O14972	synonym	VPS26C
DSG1	member	Q02413	primary	DSG1
DSG2	member	Q14126	primary	DSG2
DSP	member	P15924	primary	DSP
DST	in_tier1	Q03001	primary	DST
DSTN	member	P60981	primary	DSTN
DTD1	member	Q8TEA8	primary	DTD1
DTNA	member	Q9Y4J8	primary	DTNA
DTX3L	member	Q8TDB6	primary	DTX3L
DTYMK	member	P23919	primary	DTYMK
DUPD1	member	Q68J44	synonym	DUSP29
DUSP23	member	Q9BVJ7	primary	DUSP23
DUSP27	ambiguous	Q5VZP5;Q68J44		
DUSP28	member	Q4G0W2	primary	DUSP28
DUSP3	member	P51452	primary	DUSP3
DUT	member	P33316	primary	DUT
DYNC1H1	member	Q14204	primary	DYNC1H1
DYNC1I2	member	Q13409	primary	DYNC1I2
DYNC1LI1	member	Q9Y6G9	primary	DYNC1LI1
DYNC1LI2	member	O43237	primary	DYNC1LI2
DYNC2H1	member	Q8NCM8	primary	DYNC2H1
DYNLRB1	member	Q9NP97	primary	DYNLRB1
DYNLRB2	member	Q8TF09	primary	DYNLRB2
DYRK1A	member	Q13627	primary	DYRK1A
DYRK1B	member	Q9Y463	primary	DYRK1B
DYSF	member	O75923	primary	DYSF
EARS2	member	Q5JPH6	primary	EARS2
EBNA1BP2	member	Q99848	primary	EBNA1BP2
EBP	member	Q15125	primary	EBP
ECH1	member	Q13011	primary	ECH1
ECHDC1	member	Q9NTX5	primary	ECHDC1
ECHDC2	member	Q86YB7	primary	ECHDC2
ECHDC3	member	Q96DC8	primary	ECHDC3
ECHS1	member	P30084	primary	ECHS1
ECI1	member	P42126	primary	ECI1
ECI2	member	O75521	primary	ECI2
ECM1	member	Q16610	primary	ECM1
ECM29	member	Q5VYK3	synonym	ECPAS
EDC4	member	Q6P2E9	primary	EDC4
EDF1	member	O60869	primary	EDF1
EEA1	member	Q15075	primary	EEA1
EEF1A1	member	P68104	primary	EEF1A1
EEF1A1P5	member	Q5VTE0	primary	EEF1A1P5
EEF1A2	member	Q05639	primary	EEF1A2
EEF1B2	member	P24534	primary	EEF1B2
EEF1D	member	P29692	primary	EEF1D
EEF1E1	member	O43324	primary	EEF1E1
EEF1E1-BLOC1S5	unmapped			
EEF1G	member	P26641	primary	EEF1G
EEF2	member	P13639	primary	EEF2
EEF2K	member	O00418	primary	EEF2K
EEFSEC	member	P57772	primary	EEFSEC
EEPD1	member	Q7L9B9	primary	EEPD1
EFHD1	member	Q9BUP0	primary	EFHD1
EFTUD1	member	Q7Z2Z2	synonym	EFL1
EFTUD2	member	Q15029	primary	EFTUD2
EGFR	member	P00533	primary	EGFR
EGLN1	member	Q9GZT9	primary	EGLN1
EHBP1L1	member	Q8N3D4	primary	EHBP1L1
EHD1	member	Q9H4M9	primary	EHD1
EHD2	ambiguous	Q9NZN3;Q9NZN4		
EHD4	member	Q9H223	primary	EHD4
EI24	member	O14681	primary	EI24
EIF1	member	P41567	primary	EIF1
EIF1AX	member	P47813	primary	EIF1AX
EIF1AY	member	O14602	primary	EIF1AY
EIF1B	member	O60739	primary	EIF1B
EIF2A	ambiguous	P05198;Q9BY44		
EIF2AK2	member	P19525	primary	EIF2AK2
EIF2B1	member	Q14232	primary	EIF2B1
EIF2B2	member	P49770	primary	EIF2B2
EIF2B3	member	Q9NR50	primary	EIF2B3
EIF2B5	member	Q13144	primary	EIF2B5
EIF2S1	member	P05198	primary	EIF2S1
EIF2S2	member	P20042	primary	EIF2S2
EIF2S3	member	P41091	primary	EIF2S3
EIF2S3L	unmapped			
EIF3A	ambiguous	P56537;Q14152		
EIF3B	member	P55884	primary	EIF3B
EIF3C	member	Q99613	primary	EIF3C
EIF3CL	member	B5ME19	primary	EIF3CL
EIF3D	member	O15371	primary	EIF3D
EIF3E	member	P60228	primary	EIF3E
EIF3F	member	O00303	primary	EIF3F
EIF3G	member	O75821	primary	EIF3G
EIF3H	member	O15372	primary	EIF3H
EIF3I	member	Q13347	primary	EIF3I
EIF3J	member	O75822	primary	EIF3J
EIF3K	member	Q9UBQ5	primary	EIF3K
EIF3L	member	Q9Y262	primary	EIF3L
EIF3M	member	Q7L2H7	primary	EIF3M
EIF4A1	member	P60842	primary	EIF4A1
EIF4A2	member	Q14240	primary	EIF4A2
EIF4A3	member	P38919	primary	EIF4A3
EIF4B	member	P23588	primary	EIF4B
EIF4E	member	P06730	primary	EIF4E
EIF4G1	member	Q04637	primary	EIF4G1
EIF4G2	member	P78344	primary	EIF4G2
EIF4H	member	Q15056	primary	EIF4H
EIF5	member	P55010	primary	EIF5
EIF5A	member	P63241	primary	EIF5A
EIF5AL1	member	Q6IS14	primary	EIF5AL1
EIF5B	member	O60841	primary	EIF5B
EIF6	member	P56537	primary	EIF6
ELAVL1	member	Q15717	primary	ELAVL1
ELMO1	member	Q92556	primary	ELMO1
ELMO2	member	Q96JJ3	primary	ELMO2
ELN	member	P15502	primary	ELN
EMC1	member	Q8N766	primary	EMC1
EMC2	member	Q15006	primary	EMC2
EMC3	member	Q9P0I2	primary	EMC3
EMC7	member	Q9NPA0	primary	EMC7
EMC8	member	O43402	primary	EMC8
EMD	member	P50402	primary	EMD
EMILIN1	member	Q9Y6C2	primary	EMILIN1
EML1	member	O00423	primary	EML1
EML2	member	O95834	primary	EML2
ENAH	member	Q8N8S7	primary	ENAH
ENDOD1	member	O94919	primary	ENDOD1
ENDOG	member	Q14249	primary	ENDOG
ENO1	in_tier1	P06733	primary	ENO1
ENO2	member	P09104	primary	ENO2
ENO3	member	P13929	primary	ENO3
ENOPH1	member	Q9UHY7	primary	ENOPH1
ENPP4	member	Q9Y6X5	primary	ENPP4
ENSA	member	O43768	primary	ENSA
ENY2	member	Q9NPA8	primary	ENY2
EOGT	member	Q5NDL2	primary	EOGT
EPB41	member	P11171	primary	EPB41
EPB41L2	member	O43491	primary	EPB41L2
EPB41L3	member	Q9Y2J2	primary	EPB41L3
EPDR1	member	Q9UM22	primary	EPDR1
EPHA2	member	P29317	primary	EPHA2
EPHX1	member	P07099	primary	EPHX1
EPHX2	member	P34913	primary	EPHX2
EPM2A	ambiguous	B3EWF7;O95278		
EPM2AIP1	member	Q7L775	primary	EPM2AIP1
EPN1	member	Q9Y6I3	primary	EPN1
EPN2	member	O95208	primary	EPN2
EPPK1	member	P58107	primary	EPPK1
EPRS	member	P07814	synonym	EPRS1
EPS15	member	P42566	primary	EPS15
EPS15L1	member	Q9UBC2	primary	EPS15L1
EPS8	member	Q12929	primary	EPS8
ERAP1	member	Q9NZ08	primary	ERAP1
ERAP2	member	Q6P179	primary	ERAP2
ERBB2	member	P04626	primary	ERBB2
ERBB4	member	Q15303	primary	ERBB4
ERC1	member	Q8IUD2	primary	ERC1
ERC2	member	O15083	primary	ERC2
ERGIC1	member	Q969X5	primary	ERGIC1
ERGIC2	member	Q96RQ1	primary	ERGIC2
ERH	member	P84090	primary	ERH
ERI3	member	O43414	primary	ERI3
ERLIN1	member	O75477	primary	ERLIN1
ERLIN2	member	O94905	primary	ERLIN2
ERMP1	member	Q7Z2K6	primary	ERMP1
ERO1L	member	Q96HE7	synonym	ERO1A
ERP29	member	P30040	primary	ERP29
ERP44	member	Q9BS26	primary	ERP44
ESD	member	P10768	primary	ESD
ESYT1	member	Q9BSJ8	primary	ESYT1
ESYT2	member	A0FGR8	primary	ESYT2
ETF1	member	P62495	primary	ETF1
ETFA	member	P13804	primary	ETFA
ETFB	member	P38117	primary	ETFB
ETFDH	member	Q16134	primary	ETFDH
ETHE1	member	O95571	primary	ETHE1
EVPL	member	Q92817	primary	EVPL
EWSR1	member	Q01844	primary	EWSR1
EXOC2	member	Q96KP1	primary	EXOC2
EXOC3	member	O60645	primary	EXOC3
EXOC4	member	Q96A65	primary	EXOC4
EXOC5	member	O00471	primary	EXOC5
EXOC7	member	Q9UPT5	primary	EXOC7
EXOC8	member	Q8IYI6	primary	EXOC8
EXOSC2	member	Q13868	primary	EXOSC2
EXOSC3	member	Q9NQT5	primary	EXOSC3
EYA3	member	Q99504	primary	EYA3
EZR	member	P15311	primary	EZR
Em:AP000351.3	unmapped			
F12	member	P00748	primary	F12
F13A1	member	P00488	primary	F13A1
F2	member	P00734	primary	F2
FAAH	ambiguous	O00519;Q7L5A8		
FABP3	member	P05413	primary	FABP3
FABP4	member	P15090	primary	FABP4
FABP5	member	Q01469	primary	FABP5
FAF1	member	Q9UNN5	primary	FAF1
FAH	member	P16930	primary	FAH
FAHD1	member	Q6P587	primary	FAHD1
FAHD2A	member	Q96GK7	primary	FAHD2A
FAHD2B	member	Q6P2I3	primary	FAHD2B
FAM114A1	member	Q8IWE2	primary	FAM114A1
FAM114A2	member	Q9NRY5	primary	FAM114A2
FAM120A	member	Q9NZB2	primary	FAM120A
FAM129A	member	Q9BZQ8	synonym	NIBAN1
FAM129B	member	Q96TA1	synonym	NIBAN2
FAM134B	member	Q9H6L5	synonym	RETREG1
FAM136A	member	Q96C01	synonym	TIMCC
FAM162A	member	Q96A26	primary	FAM162A
FAM175B	member	Q15018	synonym	ABRAXAS2
FAM210A	member	Q96ND0	synonym	MIMS1
FAM210B	member	Q96KR6	synonym	MIMS2
FAM213A	member	Q9BRX8	synonym	PRXL2A
FAM21A	member	Q641Q2	synonym	WASHC2A
FAM21C	member	Q9Y4E1	synonym	WASHC2C
FAM3C	member	Q92520	primary	FAM3C
FAM45A	member	Q8TCE6	synonym	DENND10
FAM45B	unmapped			
FAM49B	member	Q9NUQ9	synonym	CYRIB
FAM98A	member	Q8NCA5	primary	FAM98A
FAM98B	member	Q52LJ0	primary	FAM98B
FAP	member	Q12884	primary	FAP
FARP1	member	Q9Y4F1	primary	FARP1
FARSA	member	Q9Y285	primary	FARSA
FARSB	member	Q9NSD9	primary	FARSB
FASN	member	P49327	primary	FASN
FAT1	member	Q14517	primary	FAT1
FAU	member	P62861	primary	FAU
FBL	member	P22087	primary	FBL
FBLIM1	member	Q8WUP2	primary	FBLIM1
FBLN1	member	P23142	primary	FBLN1
FBLN2	member	P98095	primary	FBLN2
FBLN5	member	Q9UBX5	primary	FBLN5
FBLN7	member	Q53RD9	primary	FBLN7
FBN1	member	P35555	primary	FBN1
FBP2	ambiguous	O00757;Q63HM2		
FBXO3	member	Q9UK99	primary	FBXO3
FBXO40	member	Q9UH90	primary	FBXO40
FDPS	member	P14324	primary	FDPS
FDX1	member	P10109	primary	FDX1
FDXR	member	P22570	primary	FDXR
FECH	member	P22830	primary	FECH
FEN1	member	P39748	primary	FEN1
FERMT2	in_tier1	Q96AC1	primary	FERMT2
FGA	member	P02671	primary	FGA
FGB	member	P02675	primary	FGB
FGG	member	P02679	primary	FGG
FH	member	P07954	primary	FH
FHAD1	member	B1AJZ9	primary	FHAD1
FHL1	member	Q13642	primary	FHL1
FHL2	in_tier1	Q14192	primary	FHL2
FHL3	in_tier1	Q13643	primary	FHL3
FHOD1	member	Q9Y613	primary	FHOD1
FILIP1	member	Q7Z7B0	primary	FILIP1
FIP1L1	member	Q6UN15	primary	FIP1L1
FIS1	member	Q9Y3D6	primary	FIS1
FITM1	member	A5D6W6	primary	FITM1
FITM2	member	Q8N6M3	primary	FITM2
FKBP10	member	Q96AY3	primary	FKBP10
FKBP1A	in_tier1	P62942	primary	FKBP1A
FKBP2	member	P26885	primary	FKBP2
FKBP3	member	Q00688	primary	FKBP3
FKBP4	member	Q02790	primary	FKBP4
FKBP5	member	Q13451	primary	FKBP5
FKBP7	member	Q9Y680	primary	FKBP7
FKBP8	member	Q14318	primary	FKBP8
FKBP9	ambiguous	O95302;P68106		
FLAD1	member	Q8NFF5	primary	FLAD1
FLII	member	Q13045	primary	FLII
FLNA	in_tier1	P21333	primary	FLNA
FLNB	in_tier1	O75369	primary	FLNB
FLNC	in_tier1	Q14315	primary	FLNC
FLOT1	ambiguous	O75955;P41440		
FLOT2	member	Q14254	primary	FLOT2
FN1	member	P02751	primary	FN1
FN3K	member	Q9H479	primary	FN3K
FNDC1	member	Q4ZHG4	primary	FNDC1
FNTB	member	P49356	primary	FNTB
FOCAD	member	Q5VW36	primary	FOCAD
FOXRED1	member	Q96CU9	primary	FOXRED1
FRAS1	member	Q86XX4	primary	FRAS1
FREM2	member	Q5SZK8	primary	FREM2
FRMD3	member	A2A2Y4	primary	FRMD3
FSCN1	member	Q16658	primary	FSCN1
FSD2	member	A1L4K1	primary	FSD2
FSTL1	member	Q12841	primary	FSTL1
FTH1	member	P02794	primary	FTH1
FTL	member	P02792	primary	FTL
