accession	tier	subtree_annotations	evidence_codes
O95727	erythrocytes		
O95747	erythrocytes		
O95782	erythrocytes		
O95807	erythrocytes		
O95816	erythrocytes		
O95819	erythrocytes		
O95822	erythrocytes		
O95825	erythrocytes		
O95834	erythrocytes		
O95837	erythrocytes		
O95861	erythrocytes		
O95865	erythrocytes		
O95870	erythrocytes		
O95922	erythrocytes		
O95967	erythrocytes		
O96005	erythrocytes		
P00167	erythrocytes		
P00338	erythrocytes		
P00352	erythrocytes		
P00387	erythrocytes		
P00390	erythrocytes		
P00403	erythrocytes		
P00441	erythrocytes		
P00450	plasma		
P00488	plasma		
P00491	erythrocytes		
P00492	erythrocytes		
P00505	erythrocytes		
P00558	erythrocytes		
P00568	erythrocytes		
P00734	plasma		
P00736	plasma		
P00738	erythrocytes		
P00738	plasma		
P00739	plasma		
P00740	plasma		
P00742	plasma		
P00746	plasma		
P00747	plasma		
P00748	plasma		
P00751	plasma		
P00813	erythrocytes		
P00915	erythrocytes		
P00918	erythrocytes		
P01008	erythrocytes		
P01008	plasma		
P01009	erythrocytes		
P01009	plasma		
P01011	erythrocytes		
P01011	plasma		
P01019	plasma		
P01023	erythrocytes		
P01023	plasma		
P01024	erythrocytes		
P01024	plasma		
P01031	erythrocytes		
P01031	plasma		
P01034	plasma		
P01040	erythrocytes		
P01040	plasma		
P01042	plasma		
P01111	erythrocytes		
P01112	erythrocytes		
P01116	erythrocytes		
P01591	plasma		
P01594	plasma		
P01597	plasma		
P01602	plasma		
P01611	plasma		
P01619	plasma		
P01624	plasma		
P01699	plasma		
P01700	plasma		
P01701	plasma		
P01703	plasma		
P01714	plasma		
P01717	plasma		
P01742	plasma		
P01743	plasma		
P01763	plasma		
P01764	plasma		
P01766	erythrocytes		
P01766	plasma		
P01767	plasma		
P01772	plasma		
P01780	plasma		
P01782	plasma		
P01814	plasma		
P01824	plasma		
P01834	erythrocytes		
P01834	plasma		
P01857	erythrocytes		
P01857	plasma		
P01859	erythrocytes		
P01859	plasma		
P01860	plasma		
P01861	plasma		
P01871	erythrocytes		
P01871	plasma		
P01876	erythrocytes		
P01876	plasma		
P01877	plasma		
P01880	plasma		
P02008	erythrocytes		
P02042	erythrocytes		
P02549	erythrocytes		
P02647	erythrocytes		
P02647	plasma		
P02649	erythrocytes		
P02649	plasma		
P02652	plasma		
P02654	plasma		
P02655	plasma		
P02656	plasma		
P02671	erythrocytes		
P02671	plasma		
P02675	erythrocytes		
P02675	plasma		
P02679	erythrocytes		
P02679	plasma		
P02686	erythrocytes		
P02724	erythrocytes		
P02730	erythrocytes		
P02741	plasma		
P02743	plasma		
P02745	plasma		
P02746	plasma		
P02747	plasma		
P02748	plasma		
P02749	erythrocytes		
P02749	plasma		
P02750	plasma		
P02751	plasma		
P02753	plasma		
P02760	erythrocytes		
P02760	plasma		
P02763	erythrocytes		
P02763	plasma		
P02765	erythrocytes		
P02765	plasma		
P02766	plasma		
P02768	plasma		
P02774	erythrocytes		
P02774	plasma		
P02775	plasma		
P02786	erythrocytes		
P02786	plasma		
P02787	erythrocytes		
P02787	plasma		
P02788	erythrocytes		
P02790	erythrocytes		
P02790	plasma		
P02792	erythrocytes		
P02794	erythrocytes		
P03950	plasma		
P03951	plasma		
P03952	plasma		
P04003	plasma		
P04004	erythrocytes		
P04004	plasma		
P04040	erythrocytes		
P04070	plasma		
P04075	erythrocytes		
P04080	erythrocytes		
P04083	erythrocytes		
P04114	erythrocytes		
P04114	plasma		
P04156	erythrocytes		
P04180	plasma		
P04181	erythrocytes		
P04196	plasma		
P04211	plasma		
P04217	plasma		
P04275	plasma		
P04278	plasma		
P04406	erythrocytes		
P04424	erythrocytes		
P04430	plasma		
P04433	plasma		
P04439	erythrocytes		
P04439	plasma		
P04632	erythrocytes		
