# GENERATED by match.py. DO NOT EDIT BY HAND.
# generated = 2026-09-19T01:21:41Z
# Match Rate version = 1.0
# formula = M1 (D87), docs/formula.md 'Match Rate'; primary reference = skeletal_muscle_protein_with_non_protein_metabolite_pools
# input.config = config/match_rate.ini sha256 f1fe894b4ab9a9876bbb4b1fcbad73a45f4c6211ee9718d272dea6f658ca24bf
# input.symbols = data/iupac/amino_acid_symbols.ini sha256 380d3d047c0f67df507df76a4cdd51f1b7fcde30ce050c7975b947884f8a8f0e
# input.usda_foods = outputs/usda/amino_acids_per_food.tsv sha256 c99df4b9f16a1ee722461b25563658e2665aaa45acadc37a971f7f46d5b49579
# input.other_sources = config/food_amino_acids_other_sources.csv sha256 c75262d6098376c55d0f4bf38e176c5793357d28d24958ab394813c26ddb6696
# input.reference.skeletal_muscle_protein_with_non_protein_metabolite_pools = outputs/standard/_calculated_amino_acid_standard_with_non_protein_metabolite_pools.tsv sha256 550dece6515abc11e21096616e7446fdf4c836134beaf5b2bbba516136e90db7
# input.reference.skeletal_muscle_protein = outputs/standard/_calculated_amino_acid_standard.tsv sha256 a378ac611584c370ed4fdb18d705ab6e94f0d05943bc9b9b3dbe5fa4567a3b87
# input.reference.gorissen_2018_human_muscle = config/gorissen_2018_comparison.ini sha256 8fe77d578b408361750c0a2e67c2a657c5af42e934c3f731b09659908074a701
# input.scored_set.fao_2013_indispensable = config/fao_2013_indispensable_amino_acids.ini sha256 ab2eccf9d1dbc559e0fa37a8d214b388ed65e04a062c85d2a7167d1b8e113644
# reference.skeletal_muscle_protein_with_non_protein_metabolite_pools = skeletal muscle protein + non-protein metabolite pools (carnosine), fiber-type mix | outputs/standard/_calculated_amino_acid_standard_with_non_protein_metabolite_pools.tsv column standard_with_non_protein_metabolite_pools | scored set fao_2013_indispensable (HILKMFTWV) | values: H 2.5676, I 5.4316, L 8.4, K 9.4417, M 2.6557, F 4.0278, T 5.0653, W 1.541, V 5.9265
# reference.skeletal_muscle_protein = skeletal muscle protein (protein only), fiber-type mix | outputs/standard/_calculated_amino_acid_standard.tsv column standard | scored set fao_2013_indispensable (HILKMFTWV) | values: H 2.2267, I 5.4506, L 8.4293, K 9.4748, M 2.6649, F 4.0419, T 5.0831, W 1.5464, V 5.9473
# reference.gorissen_2018_human_muscle = Gorissen et al. 2018, Table 1, human muscle, g per 100 g raw material (the original Match Rate reference) | config/gorissen_2018_comparison.ini [values.human_muscle] | scored set gorissen_2018_essential (TMFHKVIL) | values: T 2.9, M 1.7, F 3.8, H 2.8, K 6.6, V 4.3, I 3.4, L 6.3
# every scored food under reference skeletal_muscle_protein, best first; ties by description
rank	source	source_detail	food_id	description	match_rate_percent	limiting_amino_acid	protein_g_per_100g
34	usda	sr_legacy_food 2018-04	172010	Mollusks, cuttlefish, mixed species, cooked, moist heat	89.2694	W	32.48
35	usda	sr_legacy_food 2018-04	174218	Mollusks, octopus, common, raw	89.2611	W	14.91
36	usda	sr_legacy_food 2018-04	174249	Mollusks, octopus, common, cooked, moist heat	89.2283	W	29.82
37	usda	sr_legacy_food 2018-04	171975	Mollusks, clam, mixed species, cooked, moist heat	89.2118	W	25.55
38	usda	sr_legacy_food 2018-04	171981	Mollusks, oyster, eastern, canned	89.1478	W	7.06
39	usda	sr_legacy_food 2018-04	174216	Mollusks, mussel, blue, raw	89.0736	W	11.9
40	usda	sr_legacy_food 2018-04	174208	Crustaceans, lobster, northern, raw	89.0683	V	16.52
41	usda	sr_legacy_food 2018-04	174468	Duck, wild, meat and skin, raw	89.0595	T	17.42
42	usda	sr_legacy_food 2018-04	174223	Mollusks, squid, mixed species, raw	89.0332	W	15.58
43	usda	sr_legacy_food 2018-04	174209	Crustaceans, lobster, northern, cooked, moist heat	89.0329	V	19
44	usda	sr_legacy_food 2018-04	171512	Chicken patty, frozen, uncooked	88.8080	K	14.33
45	usda	sr_legacy_food 2018-04	175173	Mollusks, oyster, eastern, farmed, cooked, dry heat	88.7791	W	7
46	usda	sr_legacy_food 2018-04	171079	Squab, (pigeon), meat only, raw	88.7776	V	17.5
47	usda	sr_legacy_food 2018-04	172419	Quail, meat only, raw	88.7767	V	21.76
48	usda	sr_legacy_food 2018-04	171080	Squab, (pigeon), light meat without skin, raw	88.7767	V	21.76
49	usda	sr_legacy_food 2018-04	171515	Chicken breast tenders, breaded, uncooked	88.7736	K	14.73
50	usda	sr_legacy_food 2018-04	172829	Quail, breast, meat only, raw	88.7629	V	22.59
51	usda	sr_legacy_food 2018-04	171510	Duck, young duckling, domesticated, White Pekin, breast, meat and skin, boneless, cooked, roasted	88.7070	T	24.5
52	usda	sr_legacy_food 2018-04	171113	Duck, young duckling, domesticated, White Pekin, leg, meat only, bone in, cooked without skin, braised	88.6943	T	29.1
53	usda	sr_legacy_food 2018-04	171511	Duck, young duckling, domesticated, White Pekin, breast, meat only, boneless, cooked without skin, broiled	88.6876	T	27.6
54	usda	sr_legacy_food 2018-04	171112	Duck, young duckling, domesticated, White Pekin, leg, meat and skin, bone in, cooked, roasted	88.6854	T	26.75
55	usda	sr_legacy_food 2018-04	172414	Goose, domesticated, meat only, cooked, roasted	88.5922	T	28.97
56	usda	sr_legacy_food 2018-04	172410	Duck, domesticated, meat only, raw	88.5920	T	18.28
57	usda	sr_legacy_food 2018-04	172413	Goose, domesticated, meat only, raw	88.5729	T	22.75
58	usda	sr_legacy_food 2018-04	172411	Duck, domesticated, meat only, cooked, roasted	88.5721	T	23.48
59	usda	sr_legacy_food 2018-04	174469	Duck, wild, breast, meat only, raw	88.5659	T	19.85
60	usda	sr_legacy_food 2018-04	168046	Fish, Salmon, Chum, raw (Alaska Native)	88.4662	I	20.69
61	usda	sr_legacy_food 2018-04	169812	Fish, halibut, cooked, with skin (Alaska Native)	88.4617	I	22.13
62	usda	sr_legacy_food 2018-04	169831	APPLEBEE'S, 9 oz house sirloin steak	88.4362	W	26.85
63	usda	sr_legacy_food 2018-04	167638	Fish, halibut, raw, with skin (Alaska Native)	88.4360	I	20.53
64	usda	sr_legacy_food 2018-04	171513	Chicken patty, frozen, cooked	88.3248	K	14.85
65	usda	sr_legacy_food 2018-04	171514	Chicken breast tenders, breaded, cooked, microwaved	88.3154	K	16.35
66	usda	sr_legacy_food 2018-04	171967	Crustaceans, crab, blue, crab cakes, home recipe	88.1779	T	20.21
67	usda	sr_legacy_food 2018-04	169014	T.G.I. FRIDAY'S, classic sirloin steak (10 oz)	88.1550	W	31.02
68	usda	sr_legacy_food 2018-04	171990	Fish, cod, Pacific, cooked, dry heat (may contain additives to retain moisture)	88.0786	W	18.73
69	usda	sr_legacy_food 2018-04	174191	Fish, cod, Pacific, raw (may have been previously frozen)	87.9310	W	15.27
70	usda	sr_legacy_food 2018-04	168375	Pork, ground, 96% lean / 4% fat, cooked, pan-broiled	87.8968	T	31.69
71	usda	sr_legacy_food 2018-04	168373	Pork, ground, 72% lean / 28% fat, cooked, pan-broiled	87.8687	T	22.59
72	usda	sr_legacy_food 2018-04	169191	Pork, ground, 72% lean / 28% fat, cooked, crumbles	87.8637	T	22.83
73	usda	sr_legacy_food 2018-04	168372	Pork, ground, 84% lean / 16% fat, raw	87.8594	W	17.99
74	usda	sr_legacy_food 2018-04	169193	Pork, ground, 96% lean / 4% fat, cooked, crumbles	87.8560	W	30.55
75	usda	sr_legacy_food 2018-04	172417	Pheasant, leg, meat only, raw	87.8479	W	22.2
76	usda	sr_legacy_food 2018-04	168374	Pork, ground, 84% lean / 16% fat, cooked, pan-broiled	87.8408	W	27.14
77	usda	sr_legacy_food 2018-04	174473	Pheasant, raw, meat only	87.8357	W	23.57
78	usda	sr_legacy_food 2018-04	169190	Pork, ground, 96% lean / 4% fat, raw	87.8190	W	21.1
79	usda	sr_legacy_food 2018-04	171970	Crustaceans, shrimp, mixed species, cooked, breaded and fried	87.8138	T	21.39
80	usda	sr_legacy_food 2018-04	174474	Pheasant, breast, meat only, raw	87.7991	W	24.37
81	usda	sr_legacy_food 2018-04	169192	Pork, ground, 84% lean / 16% fat, cooked, crumbles	87.7931	W	26.69
82	usda	sr_legacy_food 2018-04	170600	Beef, sandwich steaks, flaked, chopped, formed and thinly sliced, raw	87.7246	I	16.5
83	usda	sr_legacy_food 2018-04	170341	KFC, Crispy Chicken Strips	87.6326	M	20.25
84	usda	sr_legacy_food 2018-04	170724	WENDY'S, Ultimate Chicken Grill Sandwich	87.6232	K	14.73
85	usda	sr_legacy_food 2018-04	172088	POPEYES, Mild Chicken Strips, analyzed 2006	87.4981	K	19.2
86	usda	sr_legacy_food 2018-04	170722	WENDY'S, CLASSIC SINGLE Hamburger, no cheese	87.2601	K	12.63
87	usda	sr_legacy_food 2018-04	174211	Crustaceans, spiny lobster, mixed species, raw	87.2095	V	20.6
88	usda	sr_legacy_food 2018-04	175164	Crustaceans, crab, alaska king, raw	87.2070	V	18.29
89	usda	sr_legacy_food 2018-04	171968	Crustaceans, crab, dungeness, raw	87.2031	V	17.41
90	usda	sr_legacy_food 2018-04	174202	Crustaceans, crab, alaska king, cooked, moist heat	87.1723	V	19.35
91	usda	sr_legacy_food 2018-04	171969	Crustaceans, crab, queen, raw	87.1590	V	18.5
92	usda	sr_legacy_food 2018-04	174204	Crustaceans, crab, blue, raw	87.1500	V	18.06
93	usda	sr_legacy_food 2018-04	175170	Crustaceans, crayfish, mixed species, farmed, cooked, moist heat	87.1167	V	17.52
94	usda	sr_legacy_food 2018-04	174206	Crustaceans, crayfish, mixed species, wild, raw	87.1015	V	15.97
95	usda	sr_legacy_food 2018-04	172008	Crustaceans, crab, queen, cooked, moist heat	87.1006	V	23.72
96	usda	sr_legacy_food 2018-04	172009	Crustaceans, spiny lobster, mixed species, cooked, moist heat	87.0704	V	26.41
97	usda	sr_legacy_food 2018-04	175169	Crustaceans, crayfish, mixed species, farmed, raw	87.0578	V	14.85
98	usda	sr_legacy_food 2018-04	172007	Crustaceans, crab, dungeness, cooked, moist heat	87.0466	V	22.32
99	usda	sr_legacy_food 2018-04	174207	Crustaceans, crayfish, mixed species, wild, cooked, moist heat	87.0434	V	16.77
100	usda	sr_legacy_food 2018-04	170338	POPEYES, Spicy Chicken Strips, analyzed 2006	87.0004	V	19.61
101	usda	sr_legacy_food 2018-04	174472	Pheasant, raw, meat and skin	86.9976	W	22.7
102	usda	sr_legacy_food 2018-04	175304	Game meat, goat, cooked, roasted	86.6099	K	27.1
103	usda	sr_legacy_food 2018-04	175303	Game meat, goat, raw	86.6083	K	20.6
104	usda	sr_legacy_food 2018-04	170325	WENDY'S, CLASSIC DOUBLE, with cheese	86.6046	W	16.52
105	usda	sr_legacy_food 2018-04	172297	Babyfood, cereal, oatmeal, with bananas, prepared with whole milk	86.5957	T	3.82
106	usda	sr_legacy_food 2018-04	175131	Fish, rockfish, Pacific, mixed species, cooked, dry heat	86.5228	V	22.23
107	usda	sr_legacy_food 2018-04	173684	Fish, rockfish, Pacific, mixed species, raw	86.4606	V	18.36
108	usda	sr_legacy_food 2018-04	169008	APPLEBEE'S, Double Crunch Shrimp	86.4071	K	12.31
109	usda	sr_legacy_food 2018-04	170737	KFC, Popcorn Chicken	86.4043	M	17.67
110	usda	sr_legacy_food 2018-04	168181	Peaches, canned, heavy syrup, drained	86.3443	T	0.52
111	usda	sr_legacy_food 2018-04	168772	Egg custards, dry mix	86.1484	M	6.9
112	usda	sr_legacy_food 2018-04	168072	Restaurant, Chinese, beef and vegetables	86.1245	W	7.08
113	usda	sr_legacy_food 2018-04	170326	WENDY'S, Frosty Dairy Dessert	85.9631	W	3.49
114	usda	sr_legacy_food 2018-04	167552	Snacks, popcorn, caramel-coated, without peanuts	85.8835	M	3.8
115	usda	sr_legacy_food 2018-04	171979	Mollusks, oyster, eastern, cooked, breaded and fried	85.5598	K	8.77
116	usda	foundation_food 2026-04	325430	Peaches, yellow, raw	85.5190	I	0.91
117	usda	foundation_food 2026-04	746776	Milk, nonfat, fluid, with added vitamin A and vitamin D (fat free or skim)	85.4882	W	3.43
118	usda	sr_legacy_food 2018-04	171458	Chicken, heart, all classes, raw	85.4826	W	15.55
119	usda	sr_legacy_food 2018-04	171059	Chicken, heart, all classes, cooked, simmered	85.4500	W	26.41
120	usda	sr_legacy_food 2018-04	167643	Fish, whitefish, eggs (Alaska Native)	85.4150	K	14.66
121	usda	sr_legacy_food 2018-04	169016	Restaurant, family style, sirloin steak	85.4013	W	29.8
