row_index	identity_cell	gene_cell	entry	outcome	published_share_percent
1232	O43790;CON__O43790	KRT86	O43790	keratin	0.000012
2041	C9JV50	SACM1L		no_reviewed_human_entry	0.000011
1216	Q14525;CON__Q14525;A0A087X2I6	KRT33B	Q14525	keratin	0.000009
161	C9JGT8	AP2M1		no_reviewed_human_entry	0.000007
2555	G3V5U1	WARS		no_reviewed_human_entry	0.000005
412	H0Y2P0	CD44		no_reviewed_human_entry	0.000004
1219	O76013;CON__O76013;O76013-2	KRT36	O76013	keratin	0.000001
1690	E7ESG8	PPP2CA		no_reviewed_human_entry	0.000001
18	H0Y990	ABCE1		no_reviewed_human_entry	0.000000
26	H0Y897;D3YTG3;H0YCP4;H0YF18;Q5JPC9	ABI3BP;DKFZp667H216		no_reviewed_human_entry	0.000000
40	D6RD96	ACSL4		no_reviewed_human_entry	0.000000
97	B7ZBK6;B7ZBK7	ALAD		no_reviewed_human_entry	0.000000
103	Q5SYQ7	ALDH1A1		no_reviewed_human_entry	0.000000
128	D6RHC5	ANK2		no_reviewed_human_entry	0.000000
131	I3L1Z9	ANKFY1		no_reviewed_human_entry	0.000000
134	A0A0A0MQZ8	ANKHD1		no_reviewed_human_entry	0.000000
139	E9PP91;F8W6I9;E9PIL2	ANKRD42		no_reviewed_human_entry	0.000000
156	E9PQP4	AP2A2		no_reviewed_human_entry	0.000000
166	F5GWU4	AP3B2		no_reviewed_human_entry	0.000000
223	C9J1G9	ATAD2B		no_reviewed_human_entry	0.000000
249	H7BY13	ATP2B4		no_reviewed_human_entry	0.000000
259	H3BNI4	ATP6V0C		no_reviewed_human_entry	0.000000
271	H0YLC1	ATP8B4		no_reviewed_human_entry	0.000000
288	K7ERB7	BCAM		no_reviewed_human_entry	0.000000
340	Q5T699	C6orf183		no_reviewed_human_entry	0.000000
423	H7C2F2	CD99		no_reviewed_human_entry	0.000000
476	K7EJJ5;J3KRF5	CLTC		no_reviewed_human_entry	0.000000
493	B7Z1Y6	CNTNAP2		no_reviewed_human_entry	0.000000
533	M0QX46	CRTC1		no_reviewed_human_entry	0.000000
541	K7EJC0	CSNK1G2		no_reviewed_human_entry	0.000000
616	Q3ZCN8;E9PGM3	DEPDC4		no_reviewed_human_entry	0.000000
621	H0YBU7	DHDH		no_reviewed_human_entry	0.000000
637	E5RJ61	DMTN		no_reviewed_human_entry	0.000000
643	H0YBI3	DNAH14		no_reviewed_human_entry	0.000000
758	E9PN54	EPB41L2		no_reviewed_human_entry	0.000000
818	K7ER00;K7EPH2;K7ERS0	FARSA		no_reviewed_human_entry	0.000000
852	K7EP37;K7EP27	FLII		no_reviewed_human_entry	0.000000
855	J3QLD9;K7EKW9;K7EJ47;J3QKZ4	FLOT2		no_reviewed_human_entry	0.000000
862	H0YKW6	FRMD5		no_reviewed_human_entry	0.000000
921	H0YNS9	GMPR2		no_reviewed_human_entry	0.000000
1004	E9PBW4	HBG2		no_reviewed_human_entry	0.000000
1038	P30453;P16190;P30459;P16189;Q9GJ45;P10314;P30457;P18462;A0A0G2JPD3;P30450;P30456	HLA-A		no_reviewed_human_entry	0.000000
1075	A8K7Q2;E9PS65	HSPA8		no_reviewed_human_entry	0.000000
1076	E9PN89	HSPA8		no_reviewed_human_entry	0.000000
1077	E9PQK7	HSPA8		no_reviewed_human_entry	0.000000
1089	A0A087X1S3	HUWE1		no_reviewed_human_entry	0.000000
