row_index	identity_cell	gene_cell	entry	entry_token_rank	outcome	tokens_checked	published_share_percent
2297	Q5QJ38	TCHHL1	Q5QJ38	1	member	1:Q5QJ38:reviewed_human	0.000000
2298	F5H136;F5H676;F5H726	TCP1	P17987	gene	member_via_gene	1:F5H136:unreviewed/9606; 2:F5H676:unreviewed/9606; 3:F5H726:unreviewed/9606; gene:TCP1:P17987	0.000000
2299	P17987;E7ERF2;E7EQR6;F5H282;F5GZ03;F5GZI8;F5H7Y1;F5GYL4	TCP1	P17987	1	member_duplicate_entry	1:P17987:reviewed_human	0.067833
2300	P57738	TCTA	P57738	1	member	1:P57738:reviewed_human	0.000000
2301	Q5JR98	TCTEX1D4	Q5JR98	1	member	1:Q5JR98:reviewed_human	0.000000
2302	B5MCY1	TDRD15	B5MCY1	1	member	1:B5MCY1:reviewed_human	0.000017
2303	Q7Z6L1;Q7Z6L1-2;Q7Z6L1-4;Q7Z6L1-3;C9JEV4;C9J2A1;C9JUV4	TECPR1	Q7Z6L1	1	member	1:Q7Z6L1:reviewed_human	0.001678
2304	Q9NZ01;M0R3C3;M0QXM3	TECR	Q9NZ01	1	member	1:Q9NZ01:reviewed_human	0.000000
2305	Q969V4;I3L3D4	TEKT1	Q969V4	1	member	1:Q969V4:reviewed_human	0.000048
2306	Q99973;G3V591;G3V470;G3V5X7;Q99973-2	TEP1	Q99973	1	member	1:Q99973:reviewed_human	0.000000
2307	Q9NYB0	TERF2IP	Q9NYB0	1	member	1:Q9NYB0:reviewed_human	0.000167
2308	Q6N021;E7EQS8	TET2	Q6N021	1	member	1:Q6N021:reviewed_human	0.000000
2309	Q8IWB9;Q8IWB9-2;J3KRZ8;A0A087WVA8	TEX2	Q8IWB9	1	member	1:Q8IWB9:reviewed_human	0.000000
2310	P02787;C9JVG0;C9JB55;F8WCI6;F8WEK9;H7C5E8;CON__Q2HJF0	TF	P02787	1	member	1:P02787:reviewed_human	0.000099
2311	Q92734;Q05BK6;Q92734-4;Q92734-3;Q92734-2;C9JJP5;C9JUE0;C9JTY3	TFG	Q92734	1	member	1:Q92734:reviewed_human	0.000920
2312	P02786;G3V0E5;F8WBE5;H7C3V5	TFRC	P02786	1	member	1:P02786:reviewed_human	0.000154
2313	P21980;P21980-2;A2A299;P21980-3;A2A2A0;P49221	TGM2	P21980	1	member	1:P21980:reviewed_human	0.092518
2314	Q08188	TGM3	Q08188	1	member	1:Q08188:reviewed_human	0.000138
2315	Q8WUY1;H0YAR9	THEM6	Q8WUY1	1	member	1:Q8WUY1:reviewed_human	0.000649
2316	Q9NWX6;E5RIQ8	THG1L	Q9NWX6	1	member	1:Q9NWX6:reviewed_human	0.003150
2317	P52888;K7EP46;K7EKB6;K7EMU4;K7EL02;K7EL32;P52888-2;K7EIK4	THOP1	P52888	1	member	1:P52888:reviewed_human	0.002108
2318	Q5T466	TINAG	Q9UJW2	gene	member_via_gene	1:Q5T466:unreviewed/9606; gene:TINAG:Q9UJW2	0.000000
2319	O75663;O75663-2	TIPRL	O75663	1	member	1:O75663:reviewed_human	0.001960
