row_index	identity_cell	gene_cell	entry	entry_token_rank	outcome	tokens_checked	published_share_percent
263	P36955;I3L3M1	SERPINF1	P36955	1	member	1:P36955:reviewed_human	0.053903
264	Q9BTY2;Q7Z6V1	FUCA2	Q9BTY2	1	member	1:Q9BTY2:reviewed_human	0.000076
265	P03952;H0YAC1;E7EQA8;E9PBC5	KLKB1	P03952	1	member	1:P03952:reviewed_human	0.047970
266	P05155;B4E1F0;B4E1H2;H9KV48;E9PGN7	SERPING1	P05155	1	member	1:P05155:reviewed_human	0.232236
267	P05154;F5H6K7;E9PHH2;G3V5Q9	SERPINA5	P05154	1	member	1:P05154:reviewed_human	0.006673
268	P00747	PLG	P00747	1	member	1:P00747:reviewed_human	0.125741
269	P13796	LCP1	P13796	1	member	1:P13796:reviewed_human	0.000297
270	P02775	PPBP	P02775	1	member	1:P02775:reviewed_human	0.000205
271	P10720;P02776	PF4V1;PF4	P10720	1	member	1:P10720:reviewed_human	0.000126
272	P07359;E7ES66	GP1BA	P07359	1	member	1:P07359:reviewed_human	0.000428
273	Q13093	PLA2G7	Q13093	1	member	1:Q13093:reviewed_human	0.000209
274	P20742;P20742-2	PZP	P20742	1	member	1:P20742:reviewed_human	0.007402
275	Q9UHG3;B7Z3Y2;B7Z9P8;F8W8W4;C9K055	PCYOX1	Q9UHG3	1	member	1:Q9UHG3:reviewed_human	0.000334
276	P27918;E9PAQ1	CFP	P27918	1	member	1:P27918:reviewed_human	0.000562
277	Q8NBP7;B4DEZ9;F5GWF0;Q8NBP7-2	PCSK9	Q8NBP7	1	member	1:Q8NBP7:reviewed_human	0.000141
278	P41222;H0Y5A1;F8W7I2;Q5SQ11	PTGDS	P41222	1	member	1:P41222:reviewed_human	0.000847
279	P02760;B7Z8R6	AMBP	P02760	1	member	1:P02760:reviewed_human	0.034502
280	P05109	S100A8	P05109	1	member	1:P05109:reviewed_human	0.000107
281	P06702	S100A9	P06702	1	member	1:P06702:reviewed_human	0.000161
282	Q9UK55;G3V2W1	SERPINA10	Q9UK55	1	member	1:Q9UK55:reviewed_human	0.006329
283	Q92954;Q92954-4;Q92954-3;Q92954-6;Q92954-2;Q92954-5;E7EQ48	PRG4	Q92954	1	member	1:Q92954:reviewed_human	0.001731
284	P00734;E9PIT3	F2	P00734	1	member	1:P00734:reviewed_human	0.126552
285	A6NJ16	IGHV4OR15-8			no_reviewed_human_entry	1:A6NJ16:?/?; gene:IGHV4OR15-8:unmapped	0.005543
286	Q12913;Q9NPR5;Q12913-2	PTPRJ	Q12913	1	member	1:Q12913:reviewed_human	0.000159
287	P23470;P23470-2	PTPRG	P23470	1	member	1:P23470:reviewed_human	0.000105
288	Q99969;C9J8S2	RARRES2	Q99969	1	member	1:Q99969:reviewed_human	0.000247
289	P02753;Q5VY30;A6NCP9	RBP4	P02753	1	member	1:P02753:reviewed_human	0.005698
290	P49908;D6REX5;D6RIS9	SEPP1	P49908	1	member	1:P49908:reviewed_human	0.004429
291	P02787	TF	P02787	1	member	1:P02787:reviewed_human	4.069921
292	P02768;CON__P02768-1;E7ESU5;H0YA55;B7WNR0;D6RHD5;Q8IUK7;C9JKR2;P02768-2	ALB	P02768	1	member	1:P02768:reviewed_human	23.898793
293	P0DJI8;E9PQD6	SAA1	P0DJI8	1	member	1:P0DJI8:reviewed_human	0.026630
294	P0DJI9	SAA2	P0DJI9	1	member	1:P0DJI9:reviewed_human	0.000092
295	P35542	SAA4	P35542	1	member	1:P35542:reviewed_human	0.073626
296	P02743	APCS	P02743	1	member	1:P02743:reviewed_human	0.042398
297	P27169;F5H4W9	PON1	P27169	1	member	1:P27169:reviewed_human	0.174210
298	Q15166;C9JZ99;F8WD41	PON3	Q15166	1	member	1:Q15166:reviewed_human	0.001042
299	P04278;I3L145;B4DYU0;P04278-2;F5H5Z8;I3L1N7;I3L1J1;B0FWH4;E9PGW1;I3L2X4;I3L2F1;B0FWH5;E9PH59	SHBG	P04278	1	member	1:P04278:reviewed_human	0.009008
300	Q14515;B4E2Z0	SPARCL1	Q14515	1	member	1:Q14515:reviewed_human	0.000190
301	Q9NY15;Q9NY15-2	STAB1	Q9NY15	1	member	1:Q9NY15:reviewed_human	0.003311
302	O00391;O00391-2	QSOX1	O00391	1	member	1:O00391:reviewed_human	0.001323
303	P22105;H0Y6M7;H0Y3W5;G5E9A9;B0V046;B0UYX3;E7EWZ8;E7EU03;E7EPQ1;E7EPZ9;P22105-3;P22105-2	TNXB	P22105	1	member	1:P22105:reviewed_human	0.000758
304	E9PHK0;P05452	CLEC3B	P05452	2	member_via_later_token	1:E9PHK0:unreviewed/9606; 2:P05452:reviewed_human	0.006030
305	P05543	SERPINA7	P05543	1	member	1:P05543:reviewed_human	0.025564
306	Q7KZ85;Q7KZ85-2;Q7KZ85-3	SUPT6H	Q7KZ85	1	member	1:Q7KZ85:reviewed_human	0.000041
307	P02786;G3V0E5;F5H6B1	TFRC	P02786	1	member	1:P02786:reviewed_human	0.000459
308	Q15582;G8JLA8;B9ZVW9;H0Y8L3	TGFBI	Q15582	1	member	1:Q15582:reviewed_human	0.004536
309	P02766;E7EW61;F5H868	TTR	P02766	1	member	1:P02766:reviewed_human	0.554263
310	Q6P387;Q6P387-2	C16orf46	Q6P387	1	member	1:Q6P387:reviewed_human	0.001182
311	P19320;E9PDD1;P19320-2;E9PDD2	VCAM1	P19320	1	member	1:P19320:reviewed_human	0.000700
312	Q6EMK4	VASN	Q6EMK4	1	member	1:Q6EMK4:reviewed_human	0.000767
313	P02774;P02774-2	GC	P02774	1	member	1:P02774:reviewed_human	0.037227
314	D6RF35;D6RAK8;D6RBJ7	GC			no_reviewed_human_entry	1:D6RF35:unreviewed/9606; 2:D6RAK8:?/?; 3:D6RBJ7:unreviewed/9606; gene:GC:ambiguous:P02774;P04062;P38435	0.425193
315	P04070;F5H880;E7END6;B4DPQ7;H7BYX9	PROC	P04070	1	member	1:P04070:reviewed_human	0.001128
316	P07225;G5E9F8	PROS1	P07225	1	member	1:P07225:reviewed_human	0.028181
317	P22891;P22891-2	PROZ	P22891	1	member	1:P22891:reviewed_human	0.002344
318	P04004	VTN	P04004	1	member	1:P04004:reviewed_human	0.193710
319	P04275	VWF	P04275	1	member	1:P04275:reviewed_human	0.008399
320	P12955;E9PCE8;P12955-2	PEPD	P12955	1	member	1:P12955:reviewed_human	0.000371
321	P25311;C9JEV0	AZGP1	P25311	1	member	1:P25311:reviewed_human	0.038466
322	B7ZKJ8;F5GXQ1	ITIH4	Q14624	gene	member_duplicate_entry	1:B7ZKJ8:unreviewed/9606; 2:F5GXQ1:?/?; gene:ITIH4:Q14624	0.000622
324		*-Symbol indicates proteins, identified by single pedptides after matching with the library.			empty_identity		
