row_index	identity_cell	gene_cell	entry	entry_token_rank	outcome	tokens_checked	published_share_percent
59	P10909;P10909-4;P10909-5;P10909-2;E7ETA7;P10909-3;H0YC35;H0YLK8	CLU	P10909	1	member	1:P10909:reviewed_human	0.377690
60	P00740	F9	P00740	1	member	1:P00740:reviewed_human	0.005350
61	P12259	F5	P12259	1	member	1:P12259:reviewed_human	0.008378
62	P08709;F5H8B0;P08709-2	F7	P08709	1	member	1:P08709:reviewed_human	0.000475
63	P00742	F10	P00742	1	member	1:P00742:reviewed_human	0.004509
64	P03951;E9PGP2;P03951-2	F11	P03951	1	member	1:P03951:reviewed_human	0.002535
65	P00748	F12	P00748	1	member	1:P00748:reviewed_human	0.019714
66	P00488;F5H080	F13A1	P00488	1	member	1:P00488:reviewed_human	0.010427
67	P05160	F13B	P05160	1	member	1:P05160:reviewed_human	0.006575
68	Q9Y6Z7	COLEC10	Q9Y6Z7	1	member	1:Q9Y6Z7:reviewed_human	0.000275
69	Q9BWP8;Q9BWP8-9;Q9BWP8-8;Q9BWP8-7;Q9BWP8-6;Q9BWP8-5;Q9BWP8-4;Q9BWP8-3;Q9BWP8-2	COLEC11	Q9BWP8	1	member	1:Q9BWP8:reviewed_human	0.000161
70	P02745	C1QA	P02745	1	member	1:P02745:reviewed_human	0.003666
71	P02746;D6RA08;D6R934;D6RGJ1	C1QB	P02746	1	member	1:P02746:reviewed_human	0.030730
72	P02747	C1QC	P02747	1	member	1:P02747:reviewed_human	0.023362
73	P00736;H0YFH3	C1R	P00736	1	member	1:P00736:reviewed_human	0.069073
74	Q9NZP8;E7ER29;H0YFL7;F5GWF3	C1RL	Q9NZP8	1	member	1:Q9NZP8:reviewed_human	0.005700
75	P09871;A6NG18;F8WCZ6	C1S	P09871	1	member	1:P09871:reviewed_human	0.082672
76	P06681;E9PFN7;B4DQI1;P06681-2;Q5ST57;H0Y3H6;E9PDZ0;B3KTX9;A2ABK0	C2	P06681	1	member	1:P06681:reviewed_human	0.005469
77	P01024;B4E216	C3	P01024	1	member	1:P01024:reviewed_human	3.379449
78	B0UZ83;B0V2C8;F8VZD8;F8VW91	C4A	P0C0L4	gene	member_via_gene	1:B0UZ83:?/?; 2:B0V2C8:?/?; 3:F8VZD8:?/?; 4:F8VW91:?/?; gene:C4A:P0C0L4	0.036935
79	A2BHY4;F8VX64	C4B			no_reviewed_human_entry	1:A2BHY4:?/?; 2:F8VX64:?/?; gene:C4B:unmapped	1.020108
80	P01031;H0Y4U2	C5	P01031	1	member	1:P01031:reviewed_human	0.159555
81	P13671	C6	P13671	1	member	1:P13671:reviewed_human	0.070866
82	P10643;E7EPA5	C7	P10643	1	member	1:P10643:reviewed_human	0.036282
83	P07357	C8A	P07357	1	member	1:P07357:reviewed_human	0.021736
84	P07358;F5GY80;F5H7G1	C8B	P07358	1	member	1:P07358:reviewed_human	0.027080
85	P07360;Q5SQ08	C8G	P07360	1	member	1:P07360:reviewed_human	0.007887
86	P02748	C9	P02748	1	member	1:P02748:reviewed_human	0.105536
87	B4E1Z4;E7EVA3;E7ETN3;P00751	CFB	P00751	4	member_via_later_token	1:B4E1Z4:unreviewed/9606; 2:E7EVA3:?/?; 3:E7ETN3:unreviewed/9606; 4:P00751:reviewed_human	0.402964
88	P00746	CFD	P00746	1	member	1:P00746:reviewed_human	0.001849
89	P08603	CFH	P08603	1	member	1:P08603:reviewed_human	0.207270
90	P36980;P36980-2	CFHR2	P36980	1	member	1:P36980:reviewed_human	0.010342
91	Q02985;Q02985-2;Q92496;B1ALQ8;C9J7J7	CFHR3;CFHR4	Q02985	1	member	1:Q02985:reviewed_human	0.002319
92	P05156;G3XAM2;E7ETH0	CFI	P05156	1	member	1:P05156:reviewed_human	0.029506
93	Q12860;Q12860-3;Q12860-2	CNTN1	Q12860	1	member	1:Q12860:reviewed_human	0.000090
94	P08185	SERPINA6	P08185	1	member	1:P08185:reviewed_human	0.084569
95	P02741;Q5VVP7;P02741-2	CRP	P02741	1	member	1:P02741:reviewed_human	0.020322
96	P01040;C9J0E4	CSTA	P01040	1	member	1:P01040:reviewed_human	0.000288
97	P01034	CST3	P01034	1	member	1:P01034:reviewed_human	0.000879
98	P54108;I3L0A1;P54108-2;P54108-3	CRISP3	P54108	1	member	1:P54108:reviewed_human	0.000057
99	P81605;P81605-2	DCD	P81605	1	member	1:P81605:reviewed_human	0.000546
100	Q14126	DSG2	Q14126	1	member	1:Q14126:reviewed_human	0.000085
101	P15924;P15924-2	DSP	P15924	1	member	1:P15924:reviewed_human	0.000096
102	Q01459	CTBS	Q01459	1	member	1:Q01459:reviewed_human	0.000144
103	P09172	DBH	P09172	1	member	1:P09172:reviewed_human	0.004774
104	Q13822;Q13822-3;E7EUF1;E9PHP7;Q13822-2;E5RIA2	ENPP2	Q13822	1	member	1:Q13822:reviewed_human	0.000658
105	Q12805;E9PGL6;B4DW75;Q12805-2;Q12805-4;Q12805-3	EFEMP1	Q12805	1	member	1:Q12805:reviewed_human	0.000838
106	Q9UNN8	PROCR	Q9UNN8	1	member	1:Q9UNN8:reviewed_human	0.000340
107	Q16610;Q16610-4;Q16610-2	ECM1	Q16610	1	member	1:Q16610:reviewed_human	0.008843
108	P08294	SOD3	P08294	1	member	1:P08294:reviewed_human	0.000107
109	Q01469	FABP5	Q01469	1	member	1:Q01469:reviewed_human	0.000414
110	Q9UGM5;E9PG08;E9PG06;B7Z8T3	FETUB	Q9UGM5	1	member	1:Q9UGM5:reviewed_human	0.002770
111	P02671;P02671-2	FGA	P02671	1	member	1:P02671:reviewed_human	3.592411
112	P02675;B4E1D3;D6REL8	FGB	P02675	1	member	1:P02675:reviewed_human	2.225133
