# GENERATED by aggregate.py. DO NOT EDIT BY HAND.
# generated = 2026-09-18T07:19:18Z
# input.weights = config/mass_fractions_per_entry.tsv sha256 b749cc5e5bf629c1915129358361efc1aa878172745f26c4d0096727ae111265
# input.composition = outputs/intermediate/composition/amino_acid_composition_per_protein.tsv sha256 697d977bbeec7e47388c1f272690310c061b5c6685fb7a4c9e6cc11b7297454b
# input.masses = data/pubchem/amino_acid_masses.ini sha256 ed1aac78a74e8b7ea30e21bfa52ab476433f28819d214a49a5350702a44b8216
# input.symbols = data/iupac/amino_acid_symbols.ini sha256 380d3d047c0f67df507df76a4cdd51f1b7fcde30ce050c7975b947884f8a8f0e
# input.eaa = config/fao_2013_indispensable_amino_acids.ini sha256 ab2eccf9d1dbc559e0fa37a8d214b388ed65e04a062c85d2a7167d1b8e113644
# input.fiber_type_mix = config/fiber_type_mix.ini sha256 522504713b45103d7110b7d14f03f9b6196f9b5b18707d262c4865cc2f74d4f8
# input.mhc_actin = outputs/intermediate/mass_fractions/classical_check_carroll_2004.tsv sha256 0b6e602857ecf49118ffadbcc8313d82395ef641f6d5042e6fa643fd1671071d
# input.band_families = outputs/intermediate/mass_fractions/band_families.tsv sha256 3c1644b6d60ae279cc9a8b196e23f7ee6b9911a2171b5bac85d4241e4d3097c6
# input.family_bounds = outputs/intermediate/mass_fractions/family_bounds.tsv sha256 26f0ac9d71d55f1173ea09d018ca0eb9f0503e51649951fc65d2ca09491b1cbc
# input.isoform_deltas = outputs/intermediate/protein_set/isoform_deltas.tsv sha256 82447372ff27437c32aec6d040b3b49e95b4ff3e7105812ad1bf2eb67e9c918a
# input.processing_deltas = outputs/intermediate/composition/processing_mass_deltas.tsv sha256 540dc1bda5d339720737aecec76b6037dc24c36675234288d11c1635db395b5f
# input.ptm_deltas = outputs/intermediate/composition/ptm_mass_deltas.tsv sha256 62864538f5dcc0830b284d312e20e5b864b67d768adf39cb64dcdfac9714a74d
# input.outside_pool = outputs/intermediate/mass_fractions/dataset_rows_outside_pool.tsv sha256 185af20197f6f86a894be30e12aafba5dea96b4ebf6d68178a44b6bb5ef7a876
# A1: profile = molar mixture n_a = sum_i (w_i / MW_i) count_{i,a}; p_a = n_a m_a / sum (m = residue mass or free mass). A1c: fraction mixture sum_i w_i f_{i,a}, renormalised, written as a check.
# A2: total = every weighted entry under one denominator (D58); contractile and builders = the two tiers under their within-tier weights (D31); tiers are named, never numbered (D66).
# A6: the profile when the MHC band family (D52, cutoff 2) or the actin band family is rescaled so MHC:actin equals each ratio the methods measured; the ratio labelled ibaq_x_mw_within_tier1 (the table's own label for this repository's contractile-set measurement) reproduces the standard;
# no method is a reference for another; the other sources' slow/fast pools are placed against the gel's fiber types as classical_check_carroll_2004.tsv places them; types I and IIa only — no factor is invented for IIx
profile	fiber_type	convention	ratio_source	mhc_to_actin_target	mhc_to_actin_before_scaling	way	frac_A	frac_C	frac_D	frac_E	frac_F	frac_G	frac_H	frac_I	frac_K	frac_L	frac_M	frac_N	frac_P	frac_Q	frac_R	frac_S	frac_T	frac_V	frac_W	frac_Y
total	I	residue	intensity_share_deshmukh_2021 [slow (vs gel type I)]	3.834143942	2.557014965	scale_mhc	0.05028254972	0.01132451784	0.05805207234	0.1157592403	0.04169833232	0.0292641442	0.02252302333	0.05358648469	0.09684247048	0.08648627707	0.02803590918	0.03681663899	0.0402351088	0.04903411862	0.07282574917	0.04523375336	0.04937168328	0.0570248678	0.01585170216	0.03975135636
total	I	residue	intensity_share_deshmukh_2021 [slow (vs gel type I)]	3.834143942	2.557014965	scale_actin	0.05008496525	0.01159798028	0.05836105274	0.1139777004	0.04197887079	0.02989944539	0.02249431903	0.05366253108	0.09618754778	0.08519036397	0.02741304071	0.03626557805	0.04209149003	0.04769190835	0.07241172099	0.04573801207	0.04982435823	0.05864820882	0.01637897109	0.04010193492
total	IIa	free	ibaq_x_mw_within_tier1	3.589586797	3.595724626	scale_mhc	0.05459666778	0.01195273375	0.05828764019	0.1137646489	0.04012058226	0.03428912353	0.02250079978	0.05500693244	0.09592413739	0.08379997751	0.02603063251	0.03590559158	0.04074163946	0.04755491282	0.06878745566	0.04748438211	0.05087049164	0.05921593797	0.01532666532	0.03783904738
total	IIa	free	ibaq_x_mw_within_tier1	3.589586797	3.595724626	scale_actin	0.05459776036	0.01195170078	0.05828529453	0.1137730043	0.04011964895	0.03428596083	0.02250098701	0.05500751583	0.09592723555	0.08380515773	0.02603336036	0.03590696017	0.04073362648	0.04756143787	0.06878858002	0.04748176535	0.05086943976	0.05920859668	0.01532431945	0.03783764801
total	IIa	free	gel	2.206060606	3.595724626	scale_mhc	0.05429945103	0.01226644693	0.05889598038	0.1111213423	0.04035994139	0.03524460092	0.0225863506	0.05541225099	0.09434997901	0.08225280464	0.0258563991	0.03550268325	0.04277425624	0.04566476285	0.06842231381	0.04816533764	0.05144733542	0.0608131285	0.01592651324	0.03863812175
total	IIa	free	gel	2.206060606	3.595724626	scale_actin	0.05455048271	0.01204441046	0.05834313243	0.1128678735	0.04013870856	0.03456242245	0.02269318365	0.05581001568	0.09471983984	0.08337848307	0.02674865095	0.03580281658	0.04086438736	0.04711011909	0.06865292825	0.04754967335	0.05134158161	0.05893943073	0.01536961847	0.03851224126
total	IIa	free	intensity_share_deshmukh_2021 [fast (vs gel type IIa)]	3.907992685	3.595724626	scale_mhc	0.05465924338	0.011886685	0.05815956108	0.1143211671	0.04007018792	0.03408795863	0.02248278803	0.05492159722	0.09625555853	0.08412571717	0.02606731538	0.03599041935	0.04031369511	0.0479528624	0.06886433212	0.04734101467	0.05074904374	0.05887966766	0.01520037417	0.03767081135
total	IIa	free	intensity_share_deshmukh_2021 [fast (vs gel type IIa)]	3.907992685	3.595724626	scale_actin	0.05460412588	0.01193921824	0.05827750717	0.1138948721	0.04011708274	0.03424873772	0.02247510943	0.05489946634	0.09608980068	0.08386260569	0.02593705282	0.03592098218	0.04071602068	0.04762220395	0.06880684433	0.04747262214	0.05080587004	0.05924483749	0.01531822034	0.03774682001
total	IIa	residue	ibaq_x_mw_within_tier1	3.589586797	3.595724626	scale_mhc	0.05054029483	0.01180700876	0.05847912478	0.1158421262	0.04147641805	0.03023899844	0.02307693946	0.05506052923	0.09758819539	0.08388162922	0.02655753724	0.03598172015	0.03987677572	0.04837755216	0.07156227552	0.04565271462	0.05009998644	0.05814428782	0.01621528049	0.03954060547
total	IIa	residue	ibaq_x_mw_within_tier1	3.589586797	3.595724626	scale_actin	0.05054125975	0.01180597753	0.05847671763	0.1158505276	0.04147541504	0.0302361815	0.02307711026	0.05506106255	0.09759125754	0.08388673733	0.02656029588	0.03598305855	0.03986889616	0.04838414559	0.07156337942	0.04565015682	0.05009890441	0.05813702592	0.0162127837	0.03953910681
